year_ended_june,measure,value,value_unit,value_label
2006,Total Sheep,40081594,number,Number of sheep
2006,Total Lambs Marked and/or Tailed,33809880,number,Number of sheep
2006,Total Ram and Wether Hoggets,3285141,number,Number of sheep
2006,Lambs marked/tailed from ewe hoggets,1558292,number,Number of sheep
2006,Lambs marked/tailed from ewes,32251588,number,Number of sheep
2006,Total goats,131033,number,Number of goats
2006,Total male deer,483954,number,Number of deer
2006,Total female deer,1102965,number,Number of deer
2006,Total Deer,1586918,number,Number of deer
2006,Wheat (area harvested),37962,number,Hectares
2006,Wheat (yield),261798,number,Tonnes
2006,Oats (yield),28478,number,Tonnes
2006,Barley (yield),277020,number,Tonnes
2006,Maize (yield),215649,number,Tonnes
2006,Barley (area harvested),47078,number,Hectares
2006,Hectares effluent sprayed over,174749,number,Hectares
2006,Superphosphate,1259452,number,Tonnes
2006,Lime,1398886,number,Tonnes
2006,Urea,408843,number,Tonnes
2006,Ammonia Sulphate,36942,number,Tonnes
2006,Diammonium Phosphate (DAP),199176,number,Tonnes
2006,Total All Fertilisers,2368661,number,Tonnes
2006,Mated hinds (deer),738103,number,Number of deer
2006,Fawns born (during the year ended 30 June),595782,number,Number of deer
2006,Velvet harvested (green weight),436692,number,Kilograms
2006,Male deer (2 yrs and over),126026,number,Number of deer
2006,Male deer (under 2 yrs),357928,number,Number of deer
2006,Female deer mated since 30 June last year,738103,number,Number of deer
2006,Other female deer,364862,number,Number of deer
2006,Eggs from hens,69780113,number,Dozens
2006,Chickens for meat production/broilers,12513309,number,Number of chickens
2006,All other poultry,1982478,number,Number of poultry
2006,Total poultry,17507212,number,Number of poultry
2006,Mean average number of broilers on the farm,9393902,number,Number of chickens
2006,Hens for Egg Production,3011425,number,Number of chickens
2007,Grassland,8086160,number,Hectares
2007,Number of Farm Holdings,63337,number,Number of farm holdings
2007,Tussock or Danthonia,2900463,number,Hectares
2007,"Crops, Grain, Nursery, Vegetables and Fruit",500296,number,Hectares
2007,Land used for horticulture,132892,number,Hectares
2007,Plantations of Exotic Trees,1708282,number,Hectares
2007,Total Area of Farms,14700897,number,Hectares
2007,New Area Planted in Production Forest,2580,number,Hectares
2007,Area Replanted in Production Forest,32988,number,Hectares
2007,Area of Exotic Timber Harvested in hectares,42347,number,Hectares
2007,Area of Exotic Timber Harvested in cubic metres,19107417,number,Cubic metres
2007,Dairy Cows and Heifers - not in Milk or Calf,305727,number,Number of cattle
2007,Rising 1 Year Old Dairy Heifers and Calves,734671,number,Number of cattle
2007,"Dairy Cows and Heifers, in Milk or Calf",4167121,number,Number of cattle
2007,Total Dairy Cattle (including Bobby Calves),5260850,number,Number of cattle
2007,Rising 1 Year Old Dairy Heifers and Heifer Calves,717092,number,Number of cattle
2007,Dairy Bulls intended for Breeding,53331,number,Number of cattle
2007,Calves Born Alive to Dairy Heifers/Cows,3392602,number,Number of cattle
2007,Beef non-breeding bulls (under 1 year),335181,number,Number of cattle
2007,"Beef Cows and Heifers, Bred from",1195098,number,Number of cattle
2007,"Beef Heifer Calves, under 1 Year Old",566534,number,Number of cattle
2007,Calves Born Alive to Beef Heifers/Cows,1015139,number,Number of cattle
2007,Total Beef Cattle,4393617,number,Number of cattle
2007,Beef Breeding Bulls,80424,number,Number of cattle
2007,"Steers, 2 years old and over",279570,number,Number of cattle
2007,"Steers, 1-2 years old",483442,number,Number of cattle
2007,"Steer Calves, under 1 year",491284,number,Number of cattle
2007,Beef cows and heifers (in calf) 2yrs and over,1027882,number,Number of cattle
2007,Beef cows and heifers (in calf) 1-2yrs old,167216,number,Number of cattle
2007,Beef cows and heifers (not in calf) 2yrs and over,144122,number,Number of cattle
2007,Beef cows and heifers (not in calf) 1-2yrs old,361882,number,Number of cattle
2007,Beef non-breeding bulls 2yrs and over,128112,number,Number of cattle
2007,Beef non-breeding bulls 1-2yrs old,327968,number,Number of cattle
2007,"Breeding Sows, over 1 Year Old",39743,number,Number of pigs
2007,Other Pigs,319760,number,Number of pigs
2007,Total Pigs,366671,number,Number of pigs
2007,Mated Gilts,7168,number,Number of pigs
2007,Piglets weaned on the farm during the year,787756,number,Number of pigs
2007,Breeding Ewes 2 Tooth and Over put to Ram,26063325,number,Number of sheep
2007,Breeding Ewes 2 Tooth and Over not put to Ram,286441,number,Number of sheep
2007,Rams 2 Tooth and Over,389810,number,Number of sheep
2007,Ewe Hoggets put to Ram,2524730,number,Number of sheep
2007,Ewe Hoggets not put to Ram,5551909,number,Number of sheep
2007,Wethers 2 Tooth and Over,523833,number,Number of sheep
2007,Total Sheep,38460477,number,Number of sheep
2007,Total Lambs Marked and/or Tailed,33005451,number,Number of sheep
2007,Total Ram and Wether Hoggets,3120429,number,Number of sheep
2007,Lambs marked/tailed from ewe hoggets,1448090,number,Number of sheep
2007,Lambs marked/tailed from ewes,31557361,number,Number of sheep
2007,Total goats,111981,number,Number of goats
2007,Total male deer,415865,number,Number of deer
2007,Total female deer,980158,number,Number of deer
2007,Total Deer,1396023,number,Number of deer
2007,Wheat (area harvested),40538,number,Hectares
2007,Wheat (yield),344434,number,Tonnes
2007,Oats (yield),27531,number,Tonnes
2007,Barley (yield),335627,number,Tonnes
2007,Maize (yield),185627,number,Tonnes
2007,Barley (area harvested),51481,number,Hectares
2007,Walnuts,498,number,Hectares
2007,Chestnuts,310,number,Hectares
2007,Macadamias,242,number,Hectares
2007,Hops,254,number,Hectares
2007,Hectares effluent sprayed over,219127,number,Hectares
2007,Superphosphate,1269729,number,Tonnes
2007,Lime,1486963,number,Tonnes
2007,Urea,433331,number,Tonnes
2007,Ammonia Sulphate,40589,number,Tonnes
2007,Diammonium Phosphate (DAP),182714,number,Tonnes
2007,Total All Fertilisers,2348901,number,Tonnes
2007,Potatoes,10050,number,Hectares
2007,Mated hinds (deer),680108,number,Number of deer
2007,Fawns born (during the year ended 30 June),536604,number,Number of deer
2007,Velvet harvested (green weight),425924,number,Kilograms
2007,Male deer (2 yrs and over),107370,number,Number of deer
2007,Male deer (under 2 yrs),308495,number,Number of deer
2007,Female deer mated since 30 June last year,680108,number,Number of deer
2007,Other female deer,300050,number,Number of deer
2007,Eggs from hens,69341843,number,Dozens
2007,Chickens for meat production/broilers,14765952,number,Number of chickens
2007,All other poultry,2068501,number,Number of poultry
2007,Total poultry,19828655,number,Number of poultry
2007,Mean average number of broilers on the farm,9155685,number,Number of chickens
2007,Horses,66215,number,Number of horses
2007,Other livestock,2324,number,Number of livestock
2007,Alpacas and Llamas,9328,number,Number of alpacas and llamas
2007,Hens for Egg Production,2994202,number,Number of chickens
2007,Sweetcorn,6210,number,Hectares
2007,"Tomatoes, outdoor",757,number,Hectares
2007,Asparagus,871,number,Hectares
2007,"Beans, Green",724,number,Hectares
2007,Broccoli,2247,number,Hectares
2007,Cabbage,768,number,Hectares
2007,Carrots,1320,number,Hectares
2007,Cauliflower,860,number,Hectares
2007,Cucumber,27,number,Hectares
2007,Kumara,1264,number,Hectares
2007,Lettuce,1309,number,Hectares
2007,Onions,4594,number,Hectares
2007,Peas,6791,number,Hectares
2007,Squash,7774,number,Hectares
2007,Pumpkin,1066,number,Hectares
2007,"Tomatoes, indoor",1004707,number,Square metres
2007,Cucumbers,265708,number,Square metres
2007,Capsicum/Peppers,585361,number,Square metres
2007,"Total covered area of glasshouses, green houses, shade houses, etc.",4676516,number,Square metres
2007,Melons (Water and Rock),259,number,Hectares
2007,Olives (net area planted),2173,number,Hectares
2007,Boysenberries,277,number,Hectares
2007,Blackcurrants,1155,number,Hectares
2007,Blueberries,522,number,Hectares
2007,Wine grapes,29616,number,Hectares
2007,Apples,9247,number,Hectares
2007,Pears (excluding Asian Pears),694,number,Hectares
2007,Asian Pears (Nashi),97,number,Hectares
2007,Peaches,527,number,Hectares
2007,Apricots,457,number,Hectares
2007,Plums,377,number,Hectares
2007,Nectarines,377,number,Hectares
2007,Cherries,520,number,Hectares
2007,Kiwifruit,13080,number,Hectares
2007,Avocados,4004,number,Hectares
2007,Feijoas,251,number,Hectares
2007,Tamarillos,194,number,Hectares
2007,Passionfruit,47,number,Hectares
2007,Persimmons,180,number,Hectares
2007,Oranges,681,number,Hectares
2007,Grapefruit/Goldfruit,41,number,Hectares
2007,Lemons,332,number,Hectares
2007,Mandarins,691,number,Hectares
2007,Tangelos,89,number,Hectares
2007,Strawberries,216,number,Hectares
2007,Raspberries,150,number,Hectares
2008,Grassland,8004013,number,Hectares
2008,Number of Farm Holdings,60568,number,Number of farm holdings
2008,Tussock or Danthonia,2848563,number,Hectares
2008,"Crops, Grain, Nursery, Vegetables and Fruit",551526,number,Hectares
2008,Land used for horticulture,127169,number,Hectares
2008,Plantations of Exotic Trees,1621840,number,Hectares
2008,Total Area of Farms,14559731,number,Hectares
2008,New Area Planted in Production Forest,2658,number,Hectares
2008,Area Replanted in Production Forest,33130,number,Hectares
2008,Area of Exotic Timber Harvested in hectares,42680,number,Hectares
2008,Area of Exotic Timber Harvested in cubic metres,19204115,number,Cubic metres
2008,Dairy Cows and Heifers - not in Milk or Calf,335565,number,Number of cattle
2008,Rising 1 Year Old Dairy Heifers and Calves,838753,number,Number of cattle
2008,"Dairy Cows and Heifers, in Milk or Calf",4347657,number,Number of cattle
2008,Total Dairy Cattle (including Bobby Calves),5578440,number,Number of cattle
2008,Rising 1 Year Old Dairy Heifers and Heifer Calves,823181,number,Number of cattle
2008,Dairy Bulls intended for Breeding,56466,number,Number of cattle
2008,Calves Born Alive to Dairy Heifers/Cows,3500226,number,Number of cattle
2008,Beef non-breeding bulls (under 1 year),265364,number,Number of cattle
2008,"Beef Cows and Heifers, Bred from",1103603,number,Number of cattle
2008,"Beef Heifer Calves, under 1 Year Old",532105,number,Number of cattle
2008,Calves Born Alive to Beef Heifers/Cows,978079,number,Number of cattle
2008,Total Beef Cattle,4136872,number,Number of cattle
2008,Beef Breeding Bulls,66336,number,Number of cattle
2008,"Steers, 2 years old and over",270289,number,Number of cattle
2008,"Steers, 1-2 years old",495081,number,Number of cattle
2008,"Steer Calves, under 1 year",469133,number,Number of cattle
2008,Beef cows and heifers (in calf) 2yrs and over,957999,number,Number of cattle
2008,Beef cows and heifers (in calf) 1-2yrs old,145604,number,Number of cattle
2008,Beef cows and heifers (not in calf) 2yrs and over,147588,number,Number of cattle
2008,Beef cows and heifers (not in calf) 1-2yrs old,350581,number,Number of cattle
2008,Beef non-breeding bulls 2yrs and over,132057,number,Number of cattle
2008,Beef non-breeding bulls 1-2yrs old,304735,number,Number of cattle
2008,"Breeding Sows, over 1 Year Old",37004,number,Number of pigs
2008,Other Pigs,281967,number,Number of pigs
2008,Total Pigs,324594,number,Number of pigs
2008,Mated Gilts,5623,number,Number of pigs
2008,Piglets weaned on the farm during the year,763059,number,Number of pigs
2008,Breeding Ewes 2 Tooth and Over put to Ram,23485548,number,Number of sheep
2008,Breeding Ewes 2 Tooth and Over not put to Ram,310820,number,Number of sheep
2008,Rams 2 Tooth and Over,344846,number,Number of sheep
2008,Ewe Hoggets put to Ram,1470068,number,Number of sheep
2008,Ewe Hoggets not put to Ram,4965623,number,Number of sheep
2008,Wethers 2 Tooth and Over,522422,number,Number of sheep
2008,Total Sheep,34087864,number,Number of sheep
2008,Total Lambs Marked and/or Tailed,31020153,number,Number of sheep
2008,Total Ram and Wether Hoggets,2988537,number,Number of sheep
2008,Lambs marked/tailed from ewe hoggets,1092552,number,Number of sheep
2008,Lambs marked/tailed from ewes,29927601,number,Number of sheep
2008,Total goats,95731,number,Number of goats
2008,Total male deer,369200,number,Number of deer
2008,Total female deer,854125,number,Number of deer
2008,Total Deer,1223324,number,Number of deer
2008,Wheat (area harvested),42326,number,Hectares
2008,Wheat (yield),343350,number,Tonnes
2008,Oats (yield),25463,number,Tonnes
2008,Barley (yield),408730,number,Tonnes
2008,Maize (yield),205557,number,Tonnes
2008,Barley (area harvested),67435,number,Hectares
2008,Hectares effluent sprayed over,243271,number,Hectares
2008,Lime,1386897,number,Tonnes
2008,Urea,444876,number,Tonnes
2008,Ammonia Sulphate,40007,number,Tonnes
2008,Diammonium Phosphate (DAP),85874,number,Tonnes
2008,Total All Fertilisers,2301421,number,Tonnes
2008,Fawns born (during the year ended 30 June),494163,number,Number of deer
2008,Velvet harvested (green weight),392518,number,Kilograms
2008,Male deer (2 yrs and over),98527,number,Number of deer
2008,Male deer (under 2 yrs),270673,number,Number of deer
2008,Female deer mated since 30 June last year,594798,number,Number of deer
2008,Other female deer,259327,number,Number of deer
2008,Eggs from hens,76635716,number,Dozens
2008,Chickens for meat production/broilers,14642773,number,Number of chickens
2008,All other poultry,1891956,number,Number of poultry
2008,Total poultry,19940144,number,Number of poultry
2008,Mean average number of broilers on the farm,8956065,number,Number of chickens
2008,Horses,62511,number,Number of horses
2008,Alpacas and Llamas,11847,number,Number of alpacas and llamas
2008,Hens for Egg Production,3405415,number,Number of chickens
2009,Grassland,8037755,number,Hectares
2009,Number of Farm Holdings,59268,number,Number of farm holdings
2009,Tussock or Danthonia,2910364,number,Hectares
2009,"Crops, Grain, Nursery, Vegetables and Fruit",588761,number,Hectares
2009,Land used for horticulture,123871,number,Hectares
2009,Plantations of Exotic Trees,1623266,number,Hectares
2009,Total Area of Farms,14726274,number,Hectares
2009,New Area Planted in Production Forest,2356,number,Hectares
2009,Area Replanted in Production Forest,31485,number,Hectares
2009,Area of Exotic Timber Harvested in hectares,40004,number,Hectares
2009,Area of Exotic Timber Harvested in cubic metres,18887204,number,Cubic metres
2009,Dairy Cows and Heifers - not in Milk or Calf,331428,number,Number of cattle
2009,Rising 1 Year Old Dairy Heifers and Calves,864898,number,Number of cattle
2009,"Dairy Cows and Heifers, in Milk or Calf",4606971,number,Number of cattle
2009,Total Dairy Cattle (including Bobby Calves),5860776,number,Number of cattle
2009,Rising 1 Year Old Dairy Heifers and Heifer Calves,834850,number,Number of cattle
2009,Dairy Bulls intended for Breeding,57480,number,Number of cattle
2009,Calves Born Alive to Dairy Heifers/Cows,3626799,number,Number of cattle
2009,Beef non-breeding bulls (under 1 year),236146,number,Number of cattle
2009,"Beef Cows and Heifers, Bred from",1096014,number,Number of cattle
2009,"Beef Heifer Calves, under 1 Year Old",461970,number,Number of cattle
2009,Calves Born Alive to Beef Heifers/Cows,918451,number,Number of cattle
2009,Total Beef Cattle,4100718,number,Number of cattle
2009,Beef Breeding Bulls,78259,number,Number of cattle
2009,"Steers, 2 years old and over",308160,number,Number of cattle
2009,"Steers, 1-2 years old",507998,number,Number of cattle
2009,"Steer Calves, under 1 year",423970,number,Number of cattle
