subcategory,rank,year,name,show,affiliation,title
"Television Food Show, National",Nominee,2007,Geoffrey Drummond,NA,Public television stations,America's Test Kitchen from Cook's Illustrated
"Television Food Show, National",Nominee,2007,Nat Katzman,NA,Public television stations,America's Test Kitchen from Cook's Illustrated
"Television Food Show, National",Nominee,2007,Julia Harrison,NA,Public television stations,Lidia's Family Table
"Television Food Show, National",Nominee,2007,Shelly Burgess Nicotra,NA,Public television stations,Lidia's Family Table
Radio Food Show,Nominee,2007,Lari Robling,NA,"WHYY-FM, Public Radio Satellite System","A Chef's Table: ""Aging"""
Radio Food Show,Nominee,2007,Sally Swift,NA,APM,The Splendid Table
Webcast,Nominee,2007,Olivia Gerasole,NA,www.spatulatta.com,Spatullatta.com
Webcast,Nominee,2007,Gaylon Emerzian,NA,www.spatulatta.com,Spatullatta.com
Webcast,Nominee,2007,Heidi Umbhau,NA,www.spatulatta.com,Spatullatta.com
Webcast,Nominee,2007,Eric Anderson,NA,www.graperadio.com,Winery Profile: Staglin Family Vineyards
"Television Food Show, Local",Nominee,2007,Christa Resing Colardo,NA,KRON-TV San Fransisco,Bay Cafe
Television Food Special,Winner,2007,Jennifer English,NA,Public Television Stations,Food Trip with Todd English
"Television Food Show, National",Winner,2007,Michael Steed,NA,Public Television Stations,Gourmet's Diary of a Foodie
Webcast,Nominee,2007,Brian Clark,NA,www.graperadio.com,Winery Profile: Staglin Family Vineyards
Television Food Special,Nominee,2007,Leslie Sbrocco,NA,"KQED, Channel 9","Check, Please! Bay Area"
"Television Food Segment, National or Local",Winner,2007,Jason Schmidt,NA,CBS,CBS News Sunday Morning
"Television Food Segment, National or Local",Winner,2007,Robin Skeete,NA,CBS,CBS News Sunday Morning
"Television Food Segment, National or Local",Winner,2007,Remington Korper,NA,CBS,CBS News Sunday Morning
"Television Food Segment, National or Local",Winner,2007,Catherine Kim,NA,CBS,CBS News Sunday Morning
"Television Food Segment, National or Local",Winner,2007,Judith Hole,NA,CBS,CBS News Sunday Morning
"Television Food Segment, National or Local",Winner,2007,Charles Osgood,NA,CBS,CBS News Sunday Morning
Radio Food Show,Winner,2007,Melissa Eagan,NA,"WNYC, Podcast, XM Satellite",The Leonard Lopate Show's Holiday Recipe Swap
Radio Food Show,Winner,2007,Leonard Lopate,NA,"WNYC, Podcast, XM Satellite",The Leonard Lopate Show's Holiday Recipe Swap
Radio Food Show,Nominee,2007,Elizabeth Perez-Luna,NA,"WHYY-FM, Public Radio Satellite System",A Chef's Table: Aging
Radio Food Show,Nominee,2007,Jim Coleman,NA,"WHYY-FM, Public Radio Satellite System",A Chef's Table: Aging
"Television Food Segment, National or Local",Winner,2007,Martha A. Teichner,NA,CBS,CBS News Sunday Morning
"Television Food Show, Local",Winner,2007,Tina Salter,NA,"KQED, Public Television","Check, Please! Bay Area"
"Television Food Show, Local",Winner,2007,Leslie Sbrocco,NA,"KQED, Public Television","Check, Please! Bay Area"
"Television Food Show, Local",Nominee,2007,Joey Altman,NA,KRON-TV San Fransisco,Bay Cafe
"Television Food Show, Local",Nominee,2007,Mary Orlin,NA,NBC 11/KNTV (San Francisco Bay Area),In Wine Country
Television Food Special,Winner,2007,Renard Cohen,NA,Public Television Stations,Food Trip with Todd English
"Television Food Segment, National or Local",Nominee,2007,Mark Burnett,NA,NBC Universal Domestic Television Distribution,The Martha Stewart Show
"Television Food Segment, National or Local",Nominee,2007,Martha Stewart,NA,NBC Universal Domestic Television Distribution,The Martha Stewart Show
Television Food Special,Winner,2007,Cristina Courey,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Moses Shumow,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Hilary Finkel Buxton,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Matt Cohen,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Jord Poster,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Todd English,NA,Public Television Stations,Food Trip with Todd English
Webcast,Winner,2007,Greg Drescher,NA,www.ciaprochef.com,"Savoring the Best of World Flavors, Volume One: India, Spain, Mexico and Thailand"
Television Food Special,Winner,2007,Deborah Hurley,NA,Public Television Stations,Food Trip with Todd English
Television Food Special,Winner,2007,Laurie Donnelly,NA,Public Television Stations,Food Trip with Todd English
Webcast,Winner,2007,Bill Briwa,NA,www.ciaprochef.com,"Savoring the Best of World Flavors, Volume One: India, Spain, Mexico and Thailand"
Radio Food Show,Nominee,2007,Lynne Rossetto Kasper,NA,APM,The Spendid Table
"Television Food Show, National",Winner,2007,Ruth Reichl,NA,Public Television Stations,Gourmet's Diary of a Foodie
"Television Food Show, National",Winner,2007,Laurie Donnelly,NA,Public Television Stations,Gourmet's Diary of a Foodie
"Television Food Show, National",Winner,2007,Giulio Capua,NA,Public Television Stations,Gourmet's Diary of a Foodie
"Television Food Show, National",Winner,2007,Robert Curran,NA,Public Television Stations,Gourmet's Diary of a Foodie
"Television Food Show, National",Winner,2007,Joseph Caterini,NA,Public Television Stations,Gourmet's Diary of a Foodie
Webcast,Winner,2007,"Savoring the Best of World Flavors, Volume One: India, Spain, Mexico and Thailand",NA,www.ciaprochef.com,"Savoring the Best of World Flavors, Volume One: India, Spain, Mexico and Thailand"
Television Food Special,Winner,2007,Food Trip with Todd English,NA,Public Television Stations,Food Trip with Todd English
"Television Food Show, National",Winner,2007,Gourmet's Diary of a Foodie,NA,Public Television Stations,Gourmet's Diary of a Foodie
"Television Food Segment, National or Local",Winner,2007,CBS News Sunday Morning,NA,CBS,CBS News Sunday Morning
"Television Food Show, Local",Winner,2007,"Check, Please! Bay Area",NA,"KQED, Public Television","Check, Please! Bay Area"
Best Radio Show,Winner,2007,The Leonard Lopate Show's Holiday Recipe Swap,NA,"WNYC, Podcast, XM Satellite",The Leonard Lopate Show's Holiday Recipe Swap
"Television Food Show, National",Nominee,2007,Lidia Bastianich,NA,Public Television Stations,Lidia's Family Table
"Television Food Show, National",Nominee,2007,Christopher Kimball,NA,Public Television Stations,America's Test Kitchen from Cooks Illustrated
Television Food Special,Nominee,2006,George Motz,NA,Sundance Channel,Hamburger America
Radio Food Show,Nominee,2006,Nikki Silva,NA,"NPR, KQED San Francisco and WBEZ Chicago (NPR Satellite, PRX)",The Hidden Kitchens Project
Webcast,Nominee,2006,Don Genova,NA,www.pacificpalate.com,All You Can Eat
Television Food Special,Nominee,2006,Tim Love,NA,Food Network,Cowboys on the Trail
Radio Food Show,Nominee,2006,Lari Robling,NA,"WHYY-FM Philadelphia (National, PRX)",A Chefs Table: Getting Ready for Thanksgiving
Best Local Television Cooking Show,Winner,2006,Christa Resing Colardo,NA,KRON (San Francisco Bay Area),Bay Cafe
Best National Television Cooking Show,Nominee,2006,Melanie Kosaka,NA,PBS (American Public Television),The Kitchen Sessions with Charlie Trotter: Giradet
Radio Food Show,Winner,2006,Melissa Waldron-Lehner,NA,"WNYC (National, XM Satellite)",The Leonard Lopate Show
"Television Food Segment, National or Local",Nominee,2006,Nat Katzman,NA,PBS (American Public Television),Guangzhou Where I Was Born
Radio Food Show,Nominee,2006,Jim Coleman,NA,"WHYY-FM Philadelphia (National, PRX)",A Chefs Table: Getting Ready for Thanksgiving
Radio Food Show,Nominee,2006,Elizabeth Perez-Luna,NA,"WHYY-FM Philadelphia (National, PRX)",A Chefs Table: Getting Ready for Thanksgiving
Webcast,Nominee,2006,Kathy Gunst,NA,www.here-now.org,Here and Now
"Television Food Segment, National or Local",Winner,2006,Steve Dolinsky,NA,"WLS-TV (ABC), Chicago, N.W. Indiana, S.W. Michigan, S.E. Wisconsin",ABC 7 News at 11:00 (a.m.)
Best National Television Cooking Show,Nominee,2006,Robert Bates,NA,PBS (American Public Television),The Kitchen Sessions with Charlie Trotter: Giradet
"Television Food Segment, National or Local",Nominee,2006,Vince Gerasole,NA,WBBM,"CBS 2 News, Chicago"
Best Local Television Cooking Show,Nominee,2006,Tina Salter,NA,KQED (San Francisco Bay Area),"Check, Please! Bay Area"
Best National Television Cooking Show,Nominee,2006,Charlie Trotter,NA,PBS (American Public Television),The Kitchen Sessions with Charlie Trotter: Giradet
Best National Television Cooking Show,Winner,2006,Charles Pinsky,NA,PBS (American Public Television),How to Cook Everything
Television Food Special,Winner,2006,Heidi Hanson,NA,PBS (American Public Television),Chef's Field: Featuring Four Chefs
Webcast,Nominee,2006,Robin Young,NA,www.here-now.org,Here and Now
Webcast,Winner,2006,Olivia Gerasole,NA,www.spatulatta.com,Spatulatta.com
Webcast,Winner,2006,Gaylon Emerzian,NA,www.spatulatta.com,Spatulatta.com
Webcast,Winner,2006,Spatulatta.com,NA,www.spatulatta.com,Spatulatta.com
Best National Television Cooking Show,Nominee,2006,Gretha Rose,NA,The Food Network Canada,Chef at Home: Hors d'Oeuvres Party
Best National Television Cooking Show,Nominee,2006,Laura Calder,NA,The Food Network Canada,Chef at Home: Hors d'Oeuvres Party
Television Food Special,Winner,2006,Chef's Field: Featuring Four Chefs,NA,PBS (American Public Television),Chef's Field: Featuring Four Chefs
Best National Television Cooking Show,Winner,2006,Mark Bittman,NA,PBS (American Public Television),How to Cook Everything
"Television Food Segment, National or Local",Nominee,2006,Martin Yan,NA,PBS (American Public Television),Guangzhou Where I Was Born
"Television Food Segment, National or Local",Winner,2006,ABC 7 News at 11:00 (a.m.),NA,"WLS-TV (ABC), Chicago, N.W. Indiana, S.W. Michigan, S.E. Wisconsin",ABC 7 News at 11:00 (a.m.)
Best National Television Cooking Show,Winner,2006,How to Cook Everything,NA,PBS (American Public Television),How to Cook Everything
Best Local Television Cooking Show,Winner,2006,Bay Café,NA,KRON (San Francisco Bay Area),Bay Cafe
Radio Food Show,Winner,2006,The Leonard Lopate Show,NA,"WNYC (National, XM Satellite)",The Leonard Lopate Show
Best National Television Cooking Show,Nominee,2006,Chris Warner,NA,PBS (American Public Television),Chefs; Field: Culinary Adventures That Begin on the Farm
"Television Food Segment, National or Local",Winner,2006,Badriyyah Waheed,NA,"WLS-TV (ABC), Chicago, N.W. Indiana, S.W. Michigan, S.E. Wisconsin",ABC 7 News at 11:00 (a.m.)
Best Local Television Cooking Show,Nominee,2006,Mary Orlin,NA,NBC 11/KNTV (San Francisco Bay Area),In Wine Country
Best Local Television Cooking Show,Nominee,2006,Leslie Sbrocco,NA,KQED (San Francisco Bay Area),"Check, Please! Bay Area"
Best Local Television Cooking Show,Winner,2006,Joey Altman,NA,KRON (San Francisco Bay Area),Bay Cafe
Television Food Special,Nominee,2006,Katrina Sarson,NA,Food Network,Cowboys on the Trail
Radio Food Show,Winner,2006,Leonard Lopate,NA,"WNYC (National, XM Satellite)",The Leonard Lopate Show
Radio Food Show,Nominee,2006,Jay Allison,NA,"NPR, KQED San Francisco and WBEZ Chicago (NPR Satellite, PRX)",The Hidden Kitchens Project
Best Local Television Cooking Show,Nominee,2006,Mary Babbitt,NA,NBC 11/KNTV (San Francisco Bay Area),In Wine Country
Radio Food Show,Nominee,2006,Davia Nelson,NA,"NPR, KQED San Francisco and WBEZ Chicago (NPR Satellite, PRX)",The Hidden Kitchens Project
"Television Food Segment, National or Local",Nominee,2006,Geoffrey Drummond,NA,PBS (American Public Television),Guangzhou Where I Was Born
Television Food Special,Winner,2006,Chris Warner,NA,PBS (American Public Television),Chef's Field: Featuring Four Chefs
Best National Television Cooking Show,Nominee,2006,Heidi Hanson,NA,PBS (American Public Television),Chefs; Field: Culinary Adventures That Begin on the Farm
Best National Television Cooking Show,Nominee,2006,Michael Smith,NA,The Food Network Canada,Chef at Home: Hors d'Oeuvres Party
Best National Television Cooking Show,Nominee,2005,Susie Heller,NA,National Public Television (APT),Jacques Pepin: Fast Food My Way
Best National Television Cooking Show,Winner,2005,Rachel Nicole Purnell,NA,The Food Network,Bobby Flay Chef Mentor
"Television Food Segment, National or Local",Winner,2005,Elena Ferretti,NA,Syndicated,Martha Stewart Living
Best Local Radio Show,Nominee,2005,Justin Kaufmann,NA,"WBEZ-FM, Chicago, Indiana, Wisconsin, Michigan",848
Best Local Radio Show,Nominee,2005,Michele Anna Jordan,NA,"KRCB-FM, North San Francisco Bay Area",Mouthful
Best Local Radio Show,Winner,2005,Dan Geiger,NA,"Area: WCCO-AM/CBS, Minnesota/Wisconsin",Holiday Special
Best Local Radio Show,Winner,2005,Rocco Bonello,NA,"Area: WCCO-AM/CBS, Minnesota/Wisconsin",Holiday Special
Best Local Radio Show,Nominee,2005,Nancy Lorenz,NA,"KRCB-FM, North San Francisco Bay Area",Mouthful
Best Local Television Cooking Show,Winner,2005,Mary Orlin,NA,"NBC 11/KNTV, San Francisco","In Wine Country: ""Cool Kitchen"""
Best National Radio Show,Nominee,2005,Scott Haas,NA,WBUR-FM,Here & Now
Best Local Television Cooking Show,Nominee,2005,Laura McIntosh,NA,"IND, Los Angeles; UPN, San Diego; ABC, Las Vegas, Santa Barbara, Palm Beach; CBS, Bakersfield, CA",Bringing It Home With Laura McIntosh
Best National Radio Show,Nominee,2005,Lindsay Crudele,NA,WBUR-FM,Here & Now
Best Local Television Cooking Show,Nominee,2005,Daniel Moznett,NA,"IND, Los Angeles; UPN, San Diego; ABC, Las Vegas, Santa Barbara, Palm Beach; CBS, Bakersfield, CA",Bringing It Home With Laura McIntosh
Best Local Television Cooking Show,Nominee,2005,Joey Altman,NA,KRON San Francisco Bay Area,Bay Cafe
Best Local Radio Show,Nominee,2005,Steve Dolinsky,NA,"WBEZ-FM, Chicago, Indiana, Wisconsin, Michigan",848
"Television Food Segment, National or Local",Nominee,2005,Casey Klaus,NA,"WLS-TV (ABC), Chicago, NW Indiana, SW Michigan, Southern Wisconsin",ABC 7 News at 11:00
Best National Radio Show,Nominee,2005,Davia Nelson,NA,NPR,Hidden Kitchens
Best National Radio Show,Nominee,2005,Nikki Silva,NA,NPR,Hidden Kitchens
"Television Food Segment, National or Local",Nominee,2005,Charles Gibson,NA,ABC/National,Good Morning America
"Television Food Segment, National or Local",Nominee,2005,Diane Sawyer,NA,ABC/National,Good Morning America
"Television Food Segment, National or Local",Nominee,2005,Margo Baumgart,NA,ABC/National,Good Morning America
"Television Food Segment, National or Local",Nominee,2005,Maria Licari,NA,ABC/National,Good Morning America
Best National Radio Show,Nominee,2005,Jay Nelson,NA,NPR,Hidden Kitchens
"Television Food Segment, National or Local",Nominee,2005,Steve Dolinsky,NA,"WLS-TV (ABC), Chicago, NW Indiana, SW Michigan, Southern Wisconsin",ABC 7 News at 11:00
"Television Food Segment, National or Local",Nominee,2005,Wolfgang Puck,NA,ABC/National,Good Morning America
Best Local Radio Show,Winner,2005,Holiday Special,NA,"Area: WCCO-AM/CBS, Minnesota/Wisconsin",Holiday Special
Best National Television Cooking Show,Winner,2005,Bobby Flay Chef Mentor,NA,The Food Network,Bobby Flay Chef Mentor
"Television Food Segment, National or Local",Winner,2005,Martha Stewart Living,NA,Syndicated,Martha Stewart Living
"Television Food Segment, National or Local",Winner,2005,Greta Anthony,NA,Syndicated,Martha Stewart Living
"Television Food Segment, National or Local",Winner,2005,Linda Corradina,NA,Syndicated,Martha Stewart Living
Best National Television Cooking Show,Nominee,2005,Michael Symon,NA,The Food Network,Hot and Spicy Fiesta with Bon Appetit
"Television Food Segment, National or Local",Nominee,2005,Emeril Lagasse,NA,ABC/National,Good Morning America
Best Local Radio Show,Winner,2005,Sue Zelickson,NA,"Area: WCCO-AM/CBS, Minnesota/Wisconsin",Holiday Special
Best National Television Cooking Show,Winner,2005,Michael Sheridan,NA,The Food Network,Bobby Flay Chef Mentor
Best Local Television Cooking Show,Winner,2005,Mary Babbitt,NA,"NBC 11/KNTV, San Francisco","In Wine Country: ""Cool Kitchen"""
"Television Food Segment, National or Local",Winner,2005,Martha Stewart,NA,Syndicated,Martha Stewart Living
Best National Radio Show,Winner,2005,Steve Dolinsky,NA,Public Radio International,P.R.I.'s the World
Best National Radio Show,Winner,2005,David Leveille,NA,Public Radio International,P.R.I.'s the World
Best National Television Cooking Show,Nominee,2005,D.L. McGuire,NA,National Public Television (APT),Jacques Pepin: Fast Food My Way
Best National Television Cooking Show,Nominee,2005,Jacques Pépin,NA,National Public Television (APT),Jacques Pepin: Fast Food My Way
Best National Television Cooking Show,Nominee,2005,Stuart Zanger,NA,The Food Network,Hot and Spicy Fiesta with Bon Appetit
Best National Television Cooking Show,Nominee,2005,Bobby Flay,NA,The Food Network,Hot and Spicy Fiesta with Bon Appetit
Best Local Television Cooking Show,Winner,2004,Good Eating,NA,"CLTV, Chicago",Good Eating
"Best Radio, Short Format",Winner,2004,Scott Haas,NA,"WBUR, Boston",Here and Now
"Best Radio, Short Format",Winner,2004,Lindsay Crudele,NA,"WBUR, Boston",Here and Now
"Best Radio, Short Format",Winner,2004,Jonathan Marston,NA,"WBUR, Boston",Here and Now
"Best Radio, Short Format",Nominee,2004,Steve Dolinsky,NA,"P.R.I., Chicago","P.R.I.'s ""The World"""
Best T.V. Food Journalism,Winner,2004,"CBS News Sunday Morning: ""Eat, Drink and Be Merry""",NA,CBS,"CBS News Sunday Morning: ""Eat, Drink and Be Merry"""
"Best Radio, Short Format",Winner,2004,Here and Now,NA,"WBUR, Boston",Here and Now
Best T.V. Food Journalism,Nominee,2004,Clive Tullon,NA,Food Network,Mario's Restaurant Rookies
Television Food Segment,Winner,2004,Judith Hole,NA,CBS,"CBS News Sunday Morning: ""Head Table"""
Television Food Segment,Winner,2004,"CBS News Sunday Morning: ""Head Table""",NA,CBS,"CBS News Sunday Morning: ""Head Table"""
"Best Radio, Long Format",Nominee,2004,Maiken Scott,NA,"WHYY-FM, Philadelphia",A Chef's Table: Food as Art
