INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
Heald College at Milpitas (Calif.)California,"1,255",826,8,162,32,375,14,78,36,550,0,627
California Institute of Integral StudiesCalifornia,"1,251",906,7,54,74,126,4,758,71,54,103,336
Mitchell Technical InstituteSouth Dakota,"1,245",439,42,3,2,13,0,"1,167",17,1,0,77
South College (Tenn.)Tennessee,"1,241",859,3,77,120,21,0,987,22,11,0,243
Heritage U. (Wash.)Washington,"1,241",919,56,20,14,588,1,429,47,78,8,726
DeVry U. of VirginiaVirginia,"1,239",488,9,44,540,115,6,378,21,72,54,735
Ursuline CollegeOhio,"1,236","1,129",3,16,290,27,0,829,26,35,10,362
Mount Marty CollegeSouth Dakota,"1,236",727,29,13,34,64,5,"1,089",0,2,0,145
Heald College at Concord (Calif.)California,"1,232",884,10,112,221,304,37,269,64,215,0,748
John F. Kennedy U.California,"1,230",918,21,103,140,153,14,609,54,94,42,485
Heidelberg U.Ohio,"1,230",623,2,22,70,33,2,907,38,153,3,167
Montana State U.-NorthernMontana,"1,230",611,154,15,17,15,4,942,5,60,18,210
Metropolitan College of New YorkNew York,"1,228",862,13,29,727,243,2,62,15,95,42,"1,029"
Itasca Community CollegeMinnesota,"1,222",551,44,5,68,34,1,978,56,10,26,208
Clarkson CollegeNebraska,"1,221","1,072",7,29,53,36,2,951,19,124,0,146
Columbia College (S.C.)South Carolina,"1,221","1,054",5,14,449,56,1,626,43,8,19,568
Coker CollegeSouth Carolina,"1,219",741,8,3,418,32,0,643,0,100,15,461
Ringling College of Art and DesignFlorida,"1,219",726,11,92,32,181,1,670,27,13,192,344
Luther Rice U.Georgia,"1,218",343,0,27,514,30,0,641,0,1,5,571
Young Harris CollegeGeorgia,"1,218",701,3,10,75,49,4,932,22,34,89,163
James Sprunt Community CollegeNorth Carolina,"1,213",826,4,3,384,183,2,618,16,0,3,592
Maryville CollegeTennessee,"1,213",656,9,14,135,34,2,951,32,6,30,226
Hastings CollegeNebraska,"1,212",591,6,16,41,67,4,"1,010",33,13,22,167
William Jessup U.California,"1,212",720,11,40,56,194,6,830,39,33,3,346
Eastern Nazarene CollegeMassachusetts,"1,211",834,6,20,262,145,3,678,37,30,30,473
Huntington U.Indiana,"1,209",708,6,7,30,44,1,"1,054",26,0,41,114
Medical College of WisconsinWisconsin,"1,209",579,1,95,33,67,0,743,127,93,50,323
Career Point College at San AntonioTexas,"1,208","1,108",0,0,383,475,0,350,0,0,0,858
Northwestern College (Iowa)Iowa,"1,205",709,2,13,17,61,1,999,24,49,39,118
Ohio State U. at MarionOhio,"1,204",648,4,50,63,43,2,989,28,24,1,190
Bastyr U.Washington,"1,202",989,6,121,43,42,0,775,73,67,75,285
Fielding Graduate U.California,"1,201",892,25,51,165,117,3,658,42,136,4,403
Dillard U.Louisiana,"1,200",871,0,0,"1,108",6,0,4,9,47,26,"1,123"
Wilmington College (Ohio)Ohio,"1,200",648,7,2,109,22,0,933,40,77,10,180
Clarke U.Iowa,"1,200",836,1,9,33,44,0,"1,059",16,25,13,103
Lincoln Technical Institute at Indianapolis (Ind.)Indiana,"1,199",35,4,15,140,40,0,824,95,78,3,294
Mercy College of Northwest OhioOhio,"1,196","1,029",2,19,97,49,1,959,29,40,0,197
Pioneer Pacific College at Wilsonville (Ore.)Oregon,"1,195",862,37,39,35,174,11,850,23,26,0,319
Art Institute of Washington at Arlington (Va.)Virginia,"1,195",516,9,38,580,158,14,186,0,210,0,799
Haverford CollegePennsylvania,"1,194",632,4,100,69,102,0,766,70,11,72,345
"Strayer U. at Washington, D.C.District of Columbia","1,192",723,7,20,940,73,2,50,21,37,42,"1,063"
Holy Names U.California,"1,191",830,6,179,260,305,37,292,21,53,38,808
North Central U.Minnesota,"1,191",734,2,14,31,65,1,668,36,367,7,149
Art Institute of AustinTexas,"1,189",482,8,18,178,413,11,429,0,132,0,628
Ohio State U. at MansfieldOhio,"1,188",668,2,27,100,35,0,968,29,27,0,193
"Central Methodist U., College of Liberal Arts and SciencesMissouri","1,185",614,7,4,92,31,1,954,33,33,30,168
Birmingham-Southern CollegeAlabama,"1,185",550,12,62,130,23,0,946,6,6,0,233
Lakes Region Community CollegeNew Hampshire,"1,183",623,5,13,7,15,1,787,11,344,0,52
DeVry U. of PennsylvaniaPennsylvania,"1,180",538,1,34,347,64,0,373,16,317,28,462
Wisconsin Lutheran CollegeWisconsin,"1,179",654,7,13,63,56,1,974,26,17,22,166
Pacific Oaks CollegeCalifornia,"1,176","1,082",4,50,152,541,8,318,12,87,4,767
Covenant CollegeGeorgia,"1,173",689,4,22,32,34,2,"1,000",23,26,30,117
Salem Community CollegeNew Jersey,"1,173",690,7,20,201,55,5,625,52,208,0,340
Pennsylvania State U. at YorkPennsylvania,"1,172",532,4,65,70,72,3,783,23,48,104,237
College of Health Care Professions-NorthwestTexas,"1,172","1,048",6,21,393,438,2,283,28,1,0,888
Baptist College of Health SciencesTennessee,"1,170","1,067",0,22,497,23,0,604,3,21,0,545
Le Cordon Bleu College of Culinary Arts at AtlantaGeorgia,"1,170",631,2,40,634,42,2,160,38,252,0,758
Hannibal-La Grange U.Missouri,"1,167",675,4,6,37,14,5,991,12,6,92,78
Saint Joseph's College (Ind.)Indiana,"1,166",696,6,6,96,47,0,948,28,24,11,183
MGH Institute of Health ProfessionsMassachusetts,"1,166",952,7,143,49,69,2,745,0,151,0,270
Central Christian College of KansasKansas,"1,165",576,19,11,210,107,5,536,17,252,8,369
Milligan CollegeTennessee,"1,164",760,3,15,46,52,2,987,19,8,32,137
Boricua CollegeNew York,"1,163",876,0,0,170,957,3,10,0,23,0,"1,130"
Warner U.Florida,"1,161",578,3,11,466,151,9,447,24,29,21,664
Huntingdon CollegeAlabama,"1,160",572,14,9,229,29,2,738,30,101,8,313
Lake Erie CollegeOhio,"1,155",587,4,8,164,20,0,863,28,29,39,224
"Art Institute of Dallas, a Campus of South U.Texas","1,155",583,6,36,202,283,5,354,33,236,0,565
Wright State U. Lake CampusOhio,"1,147",613,3,9,38,24,0,"1,028",24,4,17,98
Otis College of Art and DesignCalifornia,"1,146",772,11,324,48,118,4,279,72,46,244,577
Colorado Northwestern Community CollegeColorado,"1,145",673,13,6,32,121,3,847,38,77,8,213
Hanover CollegeIndiana,"1,145",663,7,16,55,26,0,928,21,29,63,125
College of IdahoIdaho,"1,144",600,6,32,22,175,5,725,24,76,79,264
Musicians InstituteCalifornia,"1,142",237,11,37,75,151,4,329,70,61,404,348
Brooklyn Law SchoolNew York,"1,141",529,2,132,52,90,1,748,31,62,23,308
Midway CollegeKentucky,"1,140",948,1,6,98,41,2,864,19,75,34,167
Union College (Ky.)Kentucky,"1,139",587,6,7,93,19,2,913,24,17,58,151
Nicolet Area Technical CollegeWisconsin,"1,139",724,44,10,5,14,0,"1,034",32,0,0,105
Thomas U.Georgia,"1,138",708,2,14,287,41,4,493,0,255,42,348
U. of Maine at Presque IsleMaine,"1,138",731,28,4,12,13,0,850,28,133,70,85
Howard Payne U.Texas,"1,137",560,3,4,88,243,1,731,35,32,0,374
WyoTech at Long BeachCalifornia,"1,136",107,6,46,139,686,18,160,64,17,0,959
Briar Cliff U.Iowa,"1,135",669,8,18,62,99,1,894,19,0,34,207
Stanbridge CollegeCalifornia,"1,133",817,6,293,43,340,0,328,0,123,0,682
Rasmussen College at Green Bay (Wis.)Wisconsin,"1,132",949,21,21,11,6,2,744,15,312,0,76
Jefferson College of Health SciencesVirginia,"1,131",903,1,28,82,40,0,937,14,27,2,165
Art Institute of CharlotteNorth Carolina,"1,129",609,5,18,603,92,13,298,0,100,0,731
Schreiner U.Texas,"1,128",646,1,8,41,349,0,678,43,0,8,442
Pennsylvania State U.-Worthington-ScrantonPennsylvania,"1,126",599,0,60,32,65,1,916,26,22,4,184
College of Westchester (N.Y.)New York,"1,125",719,5,26,393,479,0,165,24,33,0,927
Corban U.Oregon,"1,125",674,10,24,18,34,7,876,72,68,16,165
Salus U.Pennsylvania,"1,124",809,2,223,66,25,2,717,0,38,51,318
Johnson U.Tennessee,"1,124",506,3,7,39,23,0,980,17,10,45,89
Brown Mackie College-LouisvilleKentucky,"1,120",867,4,5,450,43,0,599,0,19,0,502
Gogebic Community CollegeMichigan,"1,119",686,38,5,20,6,0,927,0,123,0,69
Salem CollegeNorth Carolina,"1,118","1,062",4,31,280,115,0,610,29,40,9,459
Averett U. Nontraditional ProgramsVirginia,"1,118",661,4,8,158,8,0,178,0,757,5,178
U. of Great FallsMontana,"1,117",784,19,24,23,92,5,852,19,56,27,182
South Texas College of LawTexas,"1,116",510,6,102,81,197,0,634,33,53,10,419
National Paralegal CollegeArizona,"1,116",941,9,15,98,57,7,482,7,439,2,193
Florida Coastal School of LawFlorida,"1,115",623,10,42,286,138,3,562,16,39,19,495
Rochester CollegeMichigan,"1,113",659,1,10,159,22,64,543,23,255,36,279
Art Institute of Portland (Ore.)Oregon,"1,111",531,4,18,4,126,1,98,0,860,0,153
Bay State CollegeMassachusetts,"1,108",731,3,72,255,130,0,456,84,104,4,544
Marymount California U.California,"1,108",593,4,43,91,391,10,212,33,91,233,572
Alderson Broaddus U.West Virginia,"1,108",552,4,16,168,44,1,825,10,2,38,243
Kansas City U. of Medicine and BiosciencesMissouri,"1,106",482,5,204,8,25,1,794,25,19,25,268
Southwestern Law SchoolCalifornia,"1,106",634,4,89,56,242,10,541,66,70,28,467
Hampden-Sydney CollegeVirginia,"1,105",2,5,20,85,23,0,902,60,9,1,193
Glen Oaks Community CollegeMichigan,"1,104",681,2,10,52,72,2,909,4,51,2,142
U. of Massachusetts at WorcesterMassachusetts,"1,103",649,1,141,50,41,0,657,0,73,140,233
Columbia International U.South Carolina,"1,103",533,3,34,198,28,0,722,20,38,60,283
Galen College of Nursing at San Antonio (Tex.)Texas,"1,097",926,4,20,112,346,5,322,17,270,1,504
Our Lady of Holy Cross CollegeLouisiana,"1,095",902,7,41,255,77,0,539,18,158,0,398
Oglethorpe U.Georgia,"1,094",638,3,43,202,113,0,368,29,270,66,390
Bluffton U.Ohio,"1,094",554,0,7,59,34,0,942,20,26,6,120
Newberry CollegeSouth Carolina,"1,093",518,4,7,283,48,1,651,32,26,41,375
Cazenovia CollegeNew York,"1,091",789,9,8,78,66,3,736,45,146,0,209
Northwest Technical CollegeMinnesota,"1,091",784,81,12,45,19,1,845,66,21,1,224
Northeastern Technical CollegeSouth Carolina,"1,090",723,22,5,449,9,0,582,21,2,0,506
Martin Methodist CollegeTennessee,"1,087",670,3,0,123,20,4,754,0,119,64,150
Jefferson Davis Community CollegeAlabama,"1,086",608,27,26,318,8,0,645,20,42,0,399
Cornell CollegeIowa,"1,086",577,4,26,55,140,3,720,46,44,48,274
Le Cordon Bleu College of Culinary Arts at ChicagoIllinois,"1,086",563,9,20,306,17,2,142,3,586,1,357
WyoTech at LaramieWyoming,"1,085",59,40,6,26,126,12,758,35,82,0,245
Mount Carmel College of NursingOhio,"1,084",980,4,15,64,20,2,940,24,15,0,129
Pine Technical CollegeMinnesota,"1,083",747,8,14,33,24,0,948,30,25,1,109
Mayville State U.North Dakota,"1,081",610,19,2,70,51,5,867,32,6,29,179
Palo Alto U.California,"1,081",845,2,180,47,143,6,479,35,159,30,413
Ave Maria U.Florida,"1,081",518,5,29,55,178,0,736,0,52,26,267
South U. at West Palm Beach (Fla.)Florida,"1,081",835,3,44,486,232,6,274,0,36,0,771
Kaplan U. at Portland (Me.)Maine,"1,080",850,8,8,36,32,3,952,0,41,0,87
Northern Maine Community CollegeMaine,"1,079",596,22,8,14,16,2,912,8,79,18,70
Ohio U. Eastern CampusOhio,"1,078",629,3,11,25,12,0,967,32,18,10,83
William Peace U.North Carolina,"1,077",702,10,25,345,33,2,481,23,158,0,438
Earlham College and Earlham School of ReligionIndiana,"1,076",592,10,57,125,62,0,573,2,54,193,256
U. of South Carolina-SalkehatchieSouth Carolina,"1,076",659,0,10,450,30,0,517,33,22,14,523
Pitzer CollegeCalifornia,"1,076",622,5,61,46,163,2,536,102,86,75,379
Franklin College of IndianaIndiana,"1,075",576,2,6,43,23,0,895,37,44,25,111
Thiel CollegePennsylvania,"1,074",506,2,48,96,22,1,807,20,78,0,189
Icahn School of Medicine at Mount SinaiNew York,"1,074",580,7,220,73,90,1,441,26,78,138,417
Houghton CollegeNew York,"1,073",683,2,17,26,20,0,847,42,26,93,107
Ohio Technical CollegeOhio,"1,073",66,2,9,182,64,2,763,32,16,3,291
Calumet College of Saint JosephIndiana,"1,072",489,2,9,320,303,1,428,8,0,1,643
Dunwoody College of TechnologyMinnesota,"1,070",146,6,48,75,23,2,831,49,36,0,203
Art Institute of San AntonioTexas,"1,070",506,5,15,132,540,16,300,0,62,0,708
Doane CollegeNebraska,"1,065",530,3,15,40,69,2,877,24,19,16,153
Maranatha Baptist U.Wisconsin,"1,064",564,2,7,14,26,3,742,37,224,9,89
J.F. Drake State Technical CollegeAlabama,"1,062",606,13,11,603,28,1,377,20,9,0,676
Charter College-Canyon CountryCalifornia,"1,062",848,3,9,244,523,54,198,22,9,0,855
West Coast U. at OntarioCalifornia,"1,061",789,15,336,52,34,27,363,22,212,0,486
Maine Maritime AcademyMaine,"1,060",147,3,7,6,8,2,"1,007",0,27,0,26
William Jewell CollegeMissouri,"1,060",636,4,10,59,36,2,818,60,25,46,171
Art Institute of California at San FranciscoCalifornia,"1,058",490,3,98,74,310,14,157,80,322,0,579
Olivet CollegeMichigan,"1,058",425,4,7,104,61,0,825,41,5,11,217
Cairn U.Pennsylvania,"1,058",579,2,40,175,66,1,718,16,20,20,300
Washington Adventist U.Maryland,"1,057",670,12,84,568,127,3,124,11,91,37,805
Brescia U.Kentucky,"1,056",771,9,3,133,63,2,704,0,132,10,210
McDowell Technical Community CollegeNorth Carolina,"1,056",675,5,16,33,59,0,912,1,24,6,114
Ohio State U. at LimaOhio,"1,056",582,2,21,39,26,0,913,24,30,1,112
Stillman CollegeAlabama,"1,056",486,0,2,954,18,0,79,0,1,2,974
Tulsa Welding SchoolOklahoma,"1,054",64,168,4,88,124,1,471,25,172,1,410
Eastern Virginia Medical SchoolVirginia,"1,049",594,2,207,114,7,5,581,43,90,0,378
Heald College at Roseville (Calif.)California,"1,049",765,12,38,40,59,15,376,31,478,0,195
Cal State Maritime AcademyCalifornia,"1,047",146,3,93,19,179,4,569,110,63,7,408
Rocky Mountain College of Art & DesignColorado,"1,045",689,39,25,93,96,0,624,10,156,2,263
Belmont CollegeOhio,"1,042",684,13,3,30,7,0,971,17,1,0,70
Sierra Nevada CollegeNevada,"1,039",599,31,19,41,33,10,720,3,158,24,137
Pima Medical Institute at Mesa (Ariz.)Arizona,"1,038",770,60,35,56,280,1,514,32,60,0,464
Emory & Henry CollegeVirginia,"1,038",522,7,5,103,20,1,794,25,69,14,161
Dade Medical College at MiamiFlorida,"1,037",784,1,3,88,918,0,21,0,6,0,"1,010"
Concordia College (N.Y.)New York,"1,037",712,2,31,213,210,0,360,19,83,119,475
Barton CollegeNorth Carolina,"1,035",716,9,12,245,55,0,604,28,52,30,349
Florida Keys Community CollegeFlorida,"1,033",573,5,23,74,31,5,684,18,190,3,156
Lincoln Trail CollegeIllinois,"1,031",591,2,12,22,17,1,963,13,1,0,67
Huston-Tillotson U.Texas,"1,031",575,1,5,722,193,0,47,8,11,44,929
New York Law SchoolNew York,"1,029",547,0,77,81,140,2,574,24,96,35,324
U. of Phoenix-LouisianaLouisiana,"1,028",763,1,5,533,29,1,153,28,278,0,597
Heald College at Stockton (Calif.)California,"1,025",743,13,99,122,406,20,202,54,109,0,714
Weill Cornell MedicineNew York,"1,023",546,4,156,54,78,5,458,25,51,192,322
Cheyney U. of PennsylvaniaPennsylvania,"1,022",513,1,1,874,38,1,12,38,55,2,953
U. of ManagementÊand TechnologyVirginia,"1,020",265,3,147,187,86,10,259,11,317,0,444
MTI College (Calif.)California,"1,020",737,5,89,101,208,3,521,55,38,0,461
U. of Phoenix-MissouriMissouri,"1,020",717,6,2,355,32,5,277,40,299,4,440
College of Saint MaryNebraska,"1,018",995,5,17,63,102,1,794,25,4,7,213
DigiPen Institute of TechnologyWashington,"1,018",202,0,53,6,51,4,404,60,272,168,174
Antioch U. at Los AngelesCalifornia,"1,017",732,6,40,127,238,0,473,38,78,17,449
Unitek CollegeCalifornia,"1,017",812,1,304,43,157,20,141,59,287,5,584
St. Augustine's U. (N.C.)North Carolina,"1,016",501,3,1,967,8,0,13,0,6,18,979
AIB College of BusinessIowa,"1,014",533,3,8,38,49,5,457,13,421,20,116
Transylvania U.Kentucky,"1,014",592,1,20,31,46,1,814,30,35,36,129
Southeastern College at GreenacresFlorida,"1,013",767,7,25,237,320,1,400,18,5,0,608
Hilbert CollegeNew York,"1,012",575,17,2,86,24,1,746,42,85,9,172
River Valley Community CollegeNew Hampshire,"1,009",700,12,20,7,24,0,846,8,92,0,71
U. of the SouthwestNew Mexico,"1,009",659,21,10,242,209,4,341,0,179,3,486
Art Institute of PhoenixArizona,"1,009",490,40,11,60,335,1,253,17,292,0,464
McMurry U.Texas,"1,007",488,12,14,181,216,1,567,10,2,4,434
Rocky Mountain CollegeMontana,"1,007",487,21,10,32,18,5,784,67,23,47,153
Roanoke-Chowan Community CollegeNorth Carolina,"1,007",660,6,1,615,18,0,288,5,74,0,645
LeMoyne-Owen CollegeTennessee,"1,006",628,0,2,987,4,0,3,0,0,10,993
Tennessee Wesleyan CollegeTennessee,"1,006",636,1,12,68,24,10,815,18,29,29,133
Rich Mountain Community CollegeArkansas,"1,005",684,24,7,1,41,2,896,19,7,8,94
Adler U.Illinois,"1,004",786,4,38,128,106,0,608,26,53,41,302
U. of California-Hastings College of the LawCalifornia,"1,003",530,13,220,49,138,4,364,26,112,77,450
Carlos Albizu U. at MiamiFlorida,"1,000",788,2,8,50,778,0,71,2,41,48,840
Nebraska Methodist CollegeNebraska,"1,000",898,5,15,39,34,1,867,20,16,3,114
Wichita Technical InstituteKansas,"1,000",471,37,12,149,118,2,649,30,3,0,348
ITT Technical Institute at National City (Calif.)California,999,213,15,152,174,324,9,248,43,34,0,717
Naropa U.Colorado,996,685,6,9,14,82,0,692,80,76,37,191
Brown Mackie College at IndianapolisIndiana,995,772,7,5,687,44,1,247,1,3,0,745
Pima Medical Institute at HoustonTexas,993,827,5,78,157,483,0,221,10,39,0,733
Art Institute of California at SacramentoCalifornia,993,432,2,30,37,258,7,211,16,431,1,350
Columbia Gorge Community CollegeOregon,991,648,10,15,4,251,9,657,17,28,0,306
Western Technical College main campusTexas,990,152,5,7,36,772,7,152,0,11,0,827
Scripps CollegeCalifornia,988,982,1,181,31,93,1,483,61,92,45,368
Pima Medical Institute-Las VegasNevada,988,780,8,116,104,368,7,316,51,18,0,654
Concorde Career Institute at Grand Prairie (Tex.)Texas,987,868,4,15,449,232,5,236,32,14,0,737
Art Institute of MichiganMichigan,986,513,3,11,168,57,0,235,15,497,0,254
Southwest Institute of Healing ArtsArizona,986,868,15,23,38,104,5,760,6,35,0,191
Berks Technical InstitutePennsylvania,985,663,2,5,54,466,0,417,16,25,0,543
Oregon State U. at CascadesOregon,980,586,14,10,4,64,1,780,45,58,4,138
National College at Lexington (Ky.)Kentucky,979,762,0,3,349,25,0,527,19,55,1,396
Parker U.Texas,977,482,9,54,135,111,4,611,17,26,10,330
Concorde Career College at Garden Grove (Calif.)California,974,696,7,178,30,454,29,126,34,116,0,732
Mayland Community CollegeNorth Carolina,973,606,7,4,14,33,0,779,0,136,0,58
Le Cordon Bleu College of Culinary Arts-OrlandoFlorida,972,473,2,4,27,33,0,49,7,850,0,73
Culver-Stockton CollegeMissouri,971,462,3,4,120,44,7,727,16,0,50,194
U. of JamestownNorth Dakota,970,528,15,11,40,48,3,793,0,1,59,117
Pacifica Graduate InstituteCalifornia,970,742,4,24,30,103,0,650,50,100,9,211
Bacone CollegeOklahoma,968,356,245,27,309,85,5,181,28,88,0,699
Concorde Career College at San DiegoCalifornia,967,726,6,120,155,416,39,167,39,25,0,775
San Diego Christian CollegeCalifornia,966,490,4,21,129,196,13,440,37,105,21,400
Cooper Union for the Advancement of Science and ArtNew York,966,328,10,191,50,93,0,315,18,141,148,362
New York Chiropractic CollegeNew York,965,481,4,62,43,55,3,615,0,67,116,167
Professional Training CenterFlorida,965,753,2,3,34,887,0,13,24,2,0,950
Illinois CollegeIllinois,965,487,2,9,119,82,2,682,31,6,32,245
DeVry U. of ColoradoColorado,964,381,8,19,107,131,6,637,10,39,7,281
LaGrange CollegeGeorgia,964,521,7,8,212,18,0,675,31,8,5,276
Rust CollegeMississippi,963,563,0,2,924,0,0,4,0,0,33,926
U.S. Merchant Marine AcademyNew York,961,150,13,64,29,93,0,737,0,12,13,199
St. Catharine CollegeKentucky,961,577,2,3,72,41,0,810,22,2,9,140
Relay Graduate School of EducationNew York,958,655,0,65,214,89,0,332,2,255,1,370
International Academy of Design and Technology-OnlineFlorida,958,437,8,16,238,78,2,456,45,115,0,387
U. of North Carolina School of the ArtsNorth Carolina,958,462,5,12,72,68,2,699,44,31,25,203
Manhattan School of MusicNew York,957,530,0,73,20,43,0,275,26,37,483,162
Mercyhurst U. NortheastPennsylvania,956,633,1,6,104,31,1,612,3,190,8,146
South U. at Tampa (Fla.)Florida,955,720,5,83,222,211,7,404,0,23,0,528
Westminster College (Mo.)Missouri,954,410,21,10,75,37,2,620,10,24,155,155
Art Institute of Las VegasNevada,952,422,1,6,9,270,3,22,1,640,0,290
Santa Fe U. of Art and DesignNew Mexico,950,514,21,16,59,234,15,381,63,11,150,408
Ellsworth Community CollegeIowa,949,440,4,1,167,59,3,589,20,93,13,254
Lincoln College of Technology at Grand Prarie (Tex.)Texas,947,26,2,10,133,380,3,382,22,15,0,550
Independence Community CollegeKansas,945,478,13,2,132,37,5,691,40,2,23,229
Denver SeminaryColorado,944,378,3,27,43,35,0,729,0,78,29,108
Pima Medical Institute at DenverColorado,944,797,9,27,18,393,1,473,14,9,0,462
Kaplan College at Las VegasNevada,944,738,9,141,210,292,34,235,0,22,1,686
Bluefield CollegeVirginia,944,544,0,48,160,37,0,637,30,13,19,275
Heald College at Hayward (Calif.)California,943,677,8,124,154,339,50,98,39,131,0,714
New Mexico State U. at GrantsNew Mexico,942,635,242,9,9,370,0,184,17,107,4,647
Lees-McRae CollegeNorth Carolina,940,622,3,6,64,20,0,543,8,273,23,101
Pennsylvania State U. at Mont AltoPennsylvania,940,533,0,11,76,38,2,747,29,36,1,156
Lincoln Christian U.Illinois,940,430,11,23,81,28,1,751,14,2,29,158
Argosy U. at HonoluluHawaii,933,588,8,140,79,65,464,157,1,19,0,757
Montreat CollegeNorth Carolina,933,545,18,12,196,18,1,569,20,59,40,265
Art Institutes International-MinnesotaMinnesota,932,531,17,45,137,51,10,564,0,108,0,260
Saint Mary-of-the-Woods CollegeIndiana,931,872,9,8,36,20,1,649,0,196,12,74
Edward Waters CollegeFlorida,929,429,0,1,818,28,2,34,26,20,0,875
