name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Penn State Harrisburg,Pennsylvania,PA,Public,4 Year,13280,15198,28478,24450,37730
Penn State Hazleton,Pennsylvania,PA,Public,4 Year,11570,14468,26038,23028,34598
Penn State Lehigh Valley,Pennsylvania,PA,Public,4 Year,NA,14468,14468,23028,23028
Penn State Mont Alto,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456
Penn State New Kensington,Pennsylvania,PA,Public,4 Year,NA,13702,13702,21886,21886
Penn State Schuylkill,Pennsylvania,PA,Public,4 Year,8618,14468,23086,23028,31646
Penn State Shenango,Pennsylvania,PA,Public,4 Year,NA,13342,13342,21366,21366
Penn State University Park,Pennsylvania,PA,Public,4 Year,11570,18454,30024,34858,46428
Penn State Wilkes-Barre,Pennsylvania,PA,Public,4 Year,NA,13586,13586,21770,21770
Penn State Worthington Scranton,Pennsylvania,PA,Public,4 Year,NA,14832,14832,23028,23028
Penn State York,Pennsylvania,PA,Public,4 Year,NA,14468,14468,23028,23028
Pennsylvania Academy of the Fine Arts,Pennsylvania,PA,Private,4 Year,NA,38878,38878,38878,38878
Pennsylvania College of Art and Design,Pennsylvania,PA,Private,4 Year,NA,25850,25850,25850,25850
Pennsylvania College of Health Sciences,Pennsylvania,PA,Private,4 Year,NA,27662,27662,27662,27662
Pennsylvania College of Technology,Pennsylvania,PA,Public,4 Year,11544,16740,28284,23880,35424
Pennsylvania Highlands Community College,Pennsylvania,PA,Public,2 Year,NA,5820,5820,11460,11460
Pennsylvania Institute of Technology,Pennsylvania,PA,Private,2 Year,6000,13365,19365,13365,19365
Pensacola State College,Florida,FL,Public,2 Year,NA,3137,3137,12593,12593
Pepperdine University,California,CA,Private,4 Year,15320,53932,69252,53932,69252
Peru State College,Nebraska,NE,Public,4 Year,8010,7452,15462,7482,15492
Pfeiffer University,North Carolina,NC,Private,4 Year,11226,30234,41460,30234,41460
Philander Smith College,Arkansas,AR,Private,4 Year,8250,12414,20664,12414,20664
Phillips Community College of the University of Arkansas,Arkansas,AR,Public,2 Year,NA,2910,2910,4740,4740
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,Private,2 Year,NA,37445,37445,37445,37445
Phoenix College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810
Piedmont College,Georgia,GA,Private,4 Year,10168,25920,36088,25920,36088
Piedmont Community College,North Carolina,NC,Public,2 Year,NA,2544,2544,8688,8688
Piedmont International University,North Carolina,NC,Private,4 Year,7810,10970,18780,10970,18780
Piedmont Technical College,South Carolina,SC,Public,2 Year,NA,5495,5495,7985,7985
Piedmont Virginia Community College,Virginia,VA,Public,2 Year,NA,4930,4930,10858,10858
Pierce College,Washington,WA,Public,2 Year,NA,4477,4477,5112,5112
Pierpont Community and Technical College,West Virginia,WV,Public,2 Year,9980,4918,14898,11472,21452
Pikes Peak Community College,Colorado,CO,Public,2 Year,NA,4812,4812,18672,18672
Pillar College,New Jersey,NJ,Private,4 Year,NA,21700,21700,21700,21700
Pima Community College,Arizona,AZ,Public,2 Year,NA,2670,2670,9315,9315
Pine Manor College,Massachusetts,MA,Private,4 Year,13830,31660,45490,31660,45490
Pine Technical & Community College,Minnesota,MN,Public,2 Year,NA,5093,5093,9687,9687
Pinnacle Career Institute: Kansas City,Missouri,MO,For Profit,2 Year,NA,17774,17774,17774,17774
Pitt Community College,North Carolina,NC,Public,2 Year,NA,2354,2354,8114,8114
Pittsburg State University,Kansas,KS,Public,4 Year,7778,7298,15076,18642,26420
Pittsburgh Institute of Aeronautics,Pennsylvania,PA,Private,2 Year,NA,15990,15990,15990,15990
Pittsburgh Institute of Mortuary Science,Pennsylvania,PA,Private,2 Year,NA,15325,15325,15325,15325
Pitzer College,California,CA,Private,4 Year,16844,54056,70900,54056,70900
Plymouth State University,New Hampshire,NH,Public,4 Year,11100,14099,25199,22769,33869
Point Loma Nazarene University,California,CA,Private,4 Year,10450,35700,46150,35700,46150
Point Park University,Pennsylvania,PA,Private,4 Year,12200,31450,43650,31450,43650
Point University,Georgia,GA,Private,4 Year,7900,20600,28500,20600,28500
Polk State College,Florida,FL,Public,2 Year,NA,3367,3367,12272,12272
Pomona College,California,CA,Private,4 Year,16716,52780,69496,52780,69496
Pontifical Catholic University of Puerto Rico,NA,PR,Private,4 Year,1374,5490,6864,5490,6864
Pontifical College Josephinum,Ohio,OH,Private,4 Year,10600,23285,33885,23285,33885
Porterville College,California,CA,Public,2 Year,NA,1404,1404,7824,7824
Portland Community College,Oregon,OR,Public,2 Year,NA,5408,5408,11483,11483
Portland State University,Oregon,OR,Public,4 Year,10428,9105,19533,27060,37488
Post University,Connecticut,CT,For Profit,4 Year,11600,31050,42650,31050,42650
Potomac State College of West Virginia University,West Virginia,WV,Public,2 Year,8524,4488,13012,11376,19900
Prairie State College,Illinois,IL,Public,2 Year,NA,5220,5220,13830,13830
Prairie View A&M University,Texas,TX,Public,4 Year,8925,10533,19458,24843,33768
Pratt Community College,Kansas,KS,Public,2 Year,5641,3428,9069,3728,9369
Pratt Institute,New York,NY,Private,4 Year,12622,51870,64492,51870,64492
Presbyterian College,South Carolina,SC,Private,4 Year,10480,38660,49140,38660,49140
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185
Presentation College,South Dakota,SD,Private,4 Year,9578,19995,29573,19995,29573
Prince George's Community College,Maryland,MD,Public,2 Year,NA,4700,4700,10610,10610
Princeton University,New Jersey,NJ,Private,4 Year,16290,49330,65620,49330,65620
Principia College,Illinois,IL,Private,4 Year,11610,29470,41080,29470,41080
Providence Christian College,California,CA,Private,4 Year,9694,29372,39066,29372,39066
Providence College,Rhode Island,RI,Private,4 Year,14700,50390,65090,50390,65090
Pueblo Community College,Colorado,CO,Public,2 Year,NA,5968,5968,19425,19425
Purdue University,Indiana,IN,Public,4 Year,10030,9992,20022,28794,38824
Purdue University Northwest,Indiana,IN,Public,4 Year,7640,7686,15326,17368,25008
Queens University of Charlotte,North Carolina,NC,Private,4 Year,10860,34684,45544,34684,45544
Quincy College,Massachusetts,MA,Public,2 Year,NA,7100,7100,7100,7100
Quincy University,Illinois,IL,Private,4 Year,10500,28462,38962,28462,38962
Quinebaug Valley Community College,Connecticut,CT,Public,2 Year,NA,4399,4399,13167,13167
Quinnipiac University,Connecticut,CT,Private,4 Year,14540,47960,62500,47960,62500
Quinsigamond Community College,Massachusetts,MA,Public,2 Year,NA,6720,6720,12900,12900
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,3300,14400,17700,14400,17700
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,3000,12800,15800,12800,15800
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,5700,13550,19250,13550,19250
Rabbinical College Bobover Yeshiva B'nei Zion,New York,NY,Private,4 Year,4500,7750,12250,7750,12250
Rabbinical College of America,New Jersey,NJ,Private,4 Year,7500,11500,19000,11500,19000
Rabbinical College of Long Island,New York,NY,Private,4 Year,4900,11575,16475,11575,16475
Rabbinical College of Ohr Shimon Yisroel,New York,NY,Private,4 Year,1600,13500,15100,13500,15100
Rabbinical College of Telshe,Ohio,OH,Private,4 Year,3000,10800,13800,10800,13800
Rabbinical Seminary of America,New York,NY,Private,4 Year,6000,9800,15800,9800,15800
Radford University,Virginia,VA,Public,4 Year,9406,11210,20616,22845,32251
Rainy River Community College,Minnesota,MN,Public,2 Year,4280,5325,9605,6507,10787
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,12450,14374,26824,23715,36165
Randall University,Oklahoma,OK,Private,4 Year,7704,14090,21794,14090,21794
Randolph College,Virginia,VA,Private,4 Year,13580,39585,53165,39585,53165
Randolph Community College,North Carolina,NC,Public,2 Year,NA,2383,2383,8143,8143
Randolph-Macon College,Virginia,VA,Private,4 Year,11860,41400,53260,41400,53260
Ranger College,Texas,TX,Public,2 Year,4231,3065,7296,5765,9996
Ranken Technical College,Missouri,MO,Private,2 Year,NA,14392,14392,14392,14392
Rappahannock Community College,Virginia,VA,Public,2 Year,NA,5075,5075,10373,10373
Raritan Valley Community College,New Jersey,NJ,Public,2 Year,NA,5686,5686,7036,7036
Reading Area Community College,Pennsylvania,PA,Public,2 Year,NA,5580,5580,10590,10590
Red Rocks Community College,Colorado,CO,Public,2 Year,NA,4986,4986,18848,18848
Redlands Community College,Oklahoma,OK,Public,2 Year,7468,5325,12793,7891,15359
Reed College,Oregon,OR,Private,4 Year,14210,56340,70550,56340,70550
Reedley College,California,CA,Public,2 Year,6668,1420,8088,9160,15828
Refrigeration School,Arizona,AZ,For Profit,2 Year,NA,21615,21615,21615,21615
Regent University,Virginia,VA,Private,4 Year,9120,18108,27228,18108,27228
Regis College,Massachusetts,MA,Private,4 Year,15180,41015,56195,41015,56195
Regis University,Colorado,CO,Private,4 Year,11560,36810,48370,36810,48370
Reinhardt University,Georgia,GA,Private,4 Year,10200,23300,33500,23300,33500
Rend Lake College,Illinois,IL,Public,2 Year,NA,3900,3900,6600,6600
Rensselaer Polytechnic Institute,New York,NY,Private,4 Year,15260,53880,69140,53880,69140
Renton Technical College,Washington,WA,Public,2 Year,NA,4701,4701,5123,5123
Research College of Nursing,Missouri,MO,For Profit,4 Year,9970,37600,47570,37600,47570
Restaurant School at Walnut Hill College,Pennsylvania,PA,For Profit,4 Year,7200,13580,20780,13580,20780
Resurrection University,Illinois,IL,Private,4 Year,NA,26390,26390,26390,26390
Rhode Island College,Rhode Island,RI,Public,4 Year,11829,8929,20758,21692,33521
Rhode Island School of Design,Rhode Island,RI,Private,4 Year,13400,50960,64360,50960,64360
Rhodes College,Tennessee,TN,Private,4 Year,11403,47890,59293,47890,59293
Rice University,Texas,TX,Private,4 Year,14000,47350,61350,47350,61350
Richard Bland College,Virginia,VA,Public,2 Year,12204,8100,20304,21810,34014
Richland College,Texas,TX,Public,2 Year,NA,1770,1770,5220,5220
Richland Community College,Illinois,IL,Public,2 Year,NA,4410,4410,14490,14490
Richmond Community College,North Carolina,NC,Public,2 Year,NA,2344,2344,8104,8104
Rider University,New Jersey,NJ,Private,4 Year,14700,41310,56010,41310,56010
Ridgewater College,Minnesota,MN,Public,2 Year,NA,5429,5429,5429,5429
Ringling College of Art and Design,Florida,FL,Private,4 Year,15070,46420,61490,46420,61490
Rio Hondo College,California,CA,Public,2 Year,NA,1452,1452,8472,8472
Rio Salado College,Arizona,AZ,Public,2 Year,7584,1898,9482,6222,13806
Ripon College,Wisconsin,WI,Private,4 Year,8400,43808,52208,43808,52208
River Parishes Community College,Louisiana,LA,Public,2 Year,NA,4079,4079,8123,8123
River Valley Community College,New Hampshire,NH,Public,2 Year,NA,6720,6720,14970,14970
Riverland Community College,Minnesota,MN,Public,2 Year,NA,5580,5580,5580,5580
Riverside City College,California,CA,Public,2 Year,NA,1416,1416,9156,9156
Rivier University,New Hampshire,NH,Private,4 Year,12526,31790,44316,31790,44316
Roane State Community College,Tennessee,TN,Public,2 Year,NA,4443,4443,17349,17349
Roanoke College,Virginia,VA,Private,4 Year,13690,44030,57720,44030,57720
Roanoke-Chowan Community College,North Carolina,NC,Public,2 Year,NA,2490,2490,8250,8250
Robert Morris University,Pennsylvania,PA,Private,4 Year,11400,30300,41700,30300,41700
Robert Morris University: Chicago,Illinois,IL,Private,4 Year,NA,28530,28530,28530,28530
Roberts Wesleyan College,New York,NY,Private,4 Year,10628,31818,42446,31818,42446
Robeson Community College,North Carolina,NC,Public,2 Year,NA,2394,2394,8154,8154
Rochester College,Michigan,MI,Private,4 Year,7376,24218,31594,24218,31594
Rochester Community and Technical College,Minnesota,MN,Public,2 Year,NA,6163,6163,6163,6163
Rochester Institute of Technology,New York,NY,Private,4 Year,13046,44130,57176,44130,57176
Rock Valley College,Illinois,IL,Public,2 Year,NA,3764,3764,15224,15224
Rockford University,Illinois,IL,Private,4 Year,8660,30930,39590,30930,39590
Rockhurst University,Missouri,MO,Private,4 Year,10200,37590,47790,37590,47790
Rockingham Community College,North Carolina,NC,Public,2 Year,NA,2376,2376,8136,8136
Rockland Community College,New York,NY,Public,2 Year,NA,5326,5326,10072,10072
Rocky Mountain College,Montana,MT,Private,4 Year,8330,28512,36842,28512,36842
Roger Williams University,Rhode Island,RI,Private,4 Year,15890,34522,50412,34522,50412
Rogers State University,Oklahoma,OK,Public,4 Year,8616,6870,15486,15210,23826
Rogue Community College,Oregon,OR,Public,2 Year,NA,5550,5550,6630,6630
Rollins College,Florida,FL,Private,4 Year,14735,49760,64495,49760,64495
Roosevelt University,Illinois,IL,Private,4 Year,13223,29832,43055,29832,43055
Rose State College,Oklahoma,OK,Public,2 Year,6370,4319,10689,10696,17066
Rose-Hulman Institute of Technology,Indiana,IN,Private,4 Year,14766,49871,64637,49871,64637
Rosedale Bible College,Ohio,OH,Private,2 Year,5650,8731,14381,8731,14381
Rosedale Technical College,Pennsylvania,PA,Private,2 Year,NA,17225,17225,17225,17225
Roseman University of Health Sciences,Nevada,NV,Private,4 Year,NA,37309,37309,37309,37309
Rosemont College,Pennsylvania,PA,Private,4 Year,12438,19900,32338,19900,32338
Rowan College at Burlington County,New Jersey,NJ,Public,2 Year,NA,4755,4755,7185,7185
Rowan College at Gloucester,New Jersey,NJ,Public,2 Year,NA,4470,4470,9420,9420
Rowan University,New Jersey,NJ,Public,4 Year,12552,13697,26249,22339,34891
Rowan-Cabarrus Community College,North Carolina,NC,Public,2 Year,NA,2409,2409,8169,8169
Roxbury Community College,Massachusetts,MA,Public,2 Year,NA,6960,6960,13590,13590
Rush University,Illinois,IL,Private,4 Year,NA,24900,24900,24900,24900
Rust College,Mississippi,MS,Private,4 Year,4300,9900,14200,9900,14200
Rutgers University,New Jersey,NJ,Public,4 Year,12706,14974,27680,31282,43988
"Rutgers, The State University of New Jersey: Camden Campus",New Jersey,NJ,Public,4 Year,12336,14835,27171,30613,42949
"Rutgers, The State University of New Jersey: Newark Campus",New Jersey,NJ,Public,4 Year,13536,14409,27945,30717,44253
Sacramento City College,California,CA,Public,2 Year,NA,1416,1416,9546,9546
Sacred Heart Major Seminary,Michigan,MI,Private,4 Year,10675,19840,30515,19840,30515
Sacred Heart University,Connecticut,CT,Private,4 Year,15310,41420,56730,41420,56730
Saddleback College,California,CA,Public,2 Year,NA,1418,1418,10058,10058
Sage College,California,CA,For Profit,2 Year,NA,9400,9400,9400,9400
Saginaw Chippewa Tribal College,Michigan,MI,Public,2 Year,NA,2550,2550,2550,2550
Saginaw Valley State University,Michigan,MI,Public,4 Year,10186,10308,20494,24215,34401
Saint Anselm College,New Hampshire,NH,Private,4 Year,14500,41200,55700,41200,55700
Saint Anthony College of Nursing,Illinois,IL,Private,4 Year,NA,25948,25948,25948,25948
Saint Augustine's University,North Carolina,NC,Private,4 Year,7692,17890,25582,17890,25582
Saint Bonaventure University,New York,NY,Private,4 Year,13055,34301,47356,34301,47356
Saint Cloud State University,Minnesota,MN,Public,4 Year,8900,8912,17812,17146,26046
Saint Johns River State College,Florida,FL,Public,2 Year,NA,3240,3240,11608,11608
Saint Joseph's College,Indiana,IN,Private,4 Year,13280,34880,48160,34880,48160
Saint Joseph's College of Maine,Maine,ME,Private,4 Year,13680,35650,49330,35650,49330
Saint Joseph's University,Pennsylvania,PA,Private,4 Year,14840,44973,59813,44973,59813
Saint Leo University,Florida,FL,Private,4 Year,10570,22280,32850,22280,32850
Saint Louis University,Missouri,MO,Private,4 Year,12290,43884,56174,43884,56174
Saint Luke's College of Health Sciences,Missouri,MO,Private,4 Year,NA,17045,17045,17045,17045
Saint Martin's University,Washington,WA,Private,4 Year,11445,37356,48801,37356,48801
Saint Mary's College,Indiana,IN,Private,4 Year,12580,42220,54800,42220,54800
Saint Mary's College of California,California,CA,Private,4 Year,15370,47280,62650,47280,62650
Saint Michael's College,Vermont,VT,Private,4 Year,12220,45375,57595,45375,57595
Saint Peter's University,New Jersey,NJ,Private,4 Year,15414,37486,52900,37486,52900
Saint Thomas University,Florida,FL,Private,4 Year,11700,33222,44922,33222,44922
Saint Xavier University,Illinois,IL,Private,4 Year,11340,33880,45220,33880,45220
Salem College,North Carolina,NC,Private,4 Year,11850,29416,41266,29416,41266
Salem Community College,New Jersey,NJ,Public,2 Year,NA,5070,5070,6600,6600
Salem International University,West Virginia,WV,For Profit,4 Year,7480,12920,20400,12920,20400
Salem State University,Massachusetts,MA,Public,4 Year,12722,10884,23606,17024,29746
Salisbury University,Maryland,MD,Public,4 Year,11950,9824,21774,19526,31476
Salish Kootenai College,Montana,MT,Private,4 Year,NA,6399,6399,11583,11583
Salt Lake Community College,Utah,UT,Public,2 Year,NA,3843,3843,12206,12206
Salve Regina University,Rhode Island,RI,Private,4 Year,14500,40550,55050,40550,55050
Sam Houston State University,Texas,TX,Public,4 Year,9386,10183,19569,22633,32019
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200
Sampson Community College,North Carolina,NC,Public,2 Year,NA,2357,2357,8117,8117
San Antonio College,Texas,TX,Public,2 Year,NA,2720,2720,13730,13730
San Bernardino Valley College,California,CA,Public,2 Year,NA,1420,1420,10120,10120
San Diego Christian College,California,CA,Private,4 Year,11640,31404,43044,31404,43044
San Diego City College,California,CA,Public,2 Year,NA,1418,1418,8048,8048
San Diego Mesa College,California,CA,Public,2 Year,NA,1418,1418,8048,8048
