show,synopsis
Bengal Tiger at the Baghdad Zoo,"Rajiv Joseph's darkly comic tale is narrated by a tiger held captive in the Baghdad Zoo. The play follows the intertwined lives of two American marines and one Iraqi gardener as they search through the rubble of war for friendship, redemption and a toilet seat made of gold."
Catch Me If You Can,"The unlikely adventures of a young man who creates an astonishing array of identities - airline pilot, doctor, lawyer - none of which he has any qualifications for. Based on the Paramount Pictures film and the autobiography by Frank Abagnale Jr. and Stan Redding."
Kathy Griffin Wants a Tony,"The D-List comedian trawls for the ultimate theatre award with a performance piece, fresh every evening, about pop culture and celebrity/political missteps."
The Motherf**ker With the Hat,"Jackie and Veronica have been in love since the eighth grade. Now Jackie is on parole, clean and sober under the guidance of his sponsor, Ralph D., while living and loving his volatile soulmate Veronica, who is far from sober. Their love is pure, and nothing can come between them — except a hat."
War Horse,"The drama recounts the adventures of a horse as he moves from life on a farm into the battles of World War 1. It's also the story of a friendship put through the toughest tests. Through the eyes of the war horse, Joey, Michael Morpurgo tells this moving and powerful story of survival on the Western Front."
Baby It's You!,"The new musical tells the story of the groundbreaking girl group, the Shirelles, and Florence Greenberg, the New Jersey housewife who discovered them. With the help of African-American songwriter/producer Luther Dixon, who became her lover, Florence took on a male-dominated industry and revolutionized pop music."
High,NA
Sister Act,"When disco singer Deloris Van Cartier is placed in protective custody in a dying convent, her unique brand of funk comes face-to-face with the traditions of the church. Someone's habits are about to change."
Wonderland,NA
Jerusalem,NA
The People in the Picture,"A star of the Yiddish theatre in pre-war Poland, now living in New York, Bubbie must deal with a daughter who runs from the past and a granddaughter who embraces it."
The Normal Heart,The Normal Heart chronicles one man's slow response to the AIDS epidemic as he struggles to create support for himself — and his illness.
Man and Boy,"A famous tycoon will let nothing stand in the way of his quest for wealth, including his son, in Terence Rattigan's play."
Relatively Speaking,"An evening of three one-act comedies: Talking Cure by Ethan Coen, George Is Dead by Elaine May, and Honeymoon Motel by Woody Allen."
The Mountaintop,"Katori Hall's play reimagines the events on the night before Dr. Martin Luther King, Jr.'s assassination in Memphis, following the delivery of his memorable ""I've Been to the Mountaintop"" speech."
Chinglish,"Daniel Cavanaugh, a Midwestern American businessman looking to score a lucrative contact for his family's sign-making firm, travels to the provincial Chinese capital of Guiyang, only to learn how much he doesn't understand: his translators are unreliable, his British-born consultant may be a fraud, and he is captivated by Xi Yan, a beautiful, seemingly supportive government official."
Godspell,"The Gospel According to St. Matthew is presented in a series of skits and songs, with Jesus and his disciples presented as loving clowns, in this musical featuring songs by Stephen Schwartz, conceived and originally directed by John-Michael Tebelak."
Other Desert Cities,The Wyeth family Christmas erupts when daughter Brooke arrives bearing a soon-to-be-published memoir full of family secrets.
Venus in Fur,"Based on the erotic novel of the same name, David Ives' play explores the lines between seduction and power in this behind-the-scenes look at an audition."
"Hugh Jackman, Back on Broadway",Tony-winning actor Hugh Jackman performs an evening of song and dance featuring his favorite selections of Broadway and pop hits.
Seminar,"Four young writers are thrilled to be participating in a private seminar taught by the brilliant but unpredictable Leonard, an international literary legend. But as Leonard deems some students more promising than others, tensions arise."
Bonnie & Clyde,"In Depression-era Texas, a young Bonnie Parker falls in love with Clyde Barrow, a criminal on the run from the law. Their love affair soon spirals out of control, as Bonnie & Clyde commit a series of bank robberies. As their notoriety — and body count — rises, the ill-fated lovers find themselves racing to the top of the Public Enemies list."
Lysistrata Jones,"A modern adaptation of Aristophanes' Lysistrata, Lewis Flinn and Douglas Carter Beane's musical introduces us to a hapless basketball team and its cheerleaders, who come up with a ""Just Say No!"" campaign to inspire victory."
On a Clear Day You Can See Forever,A kooky young woman goes to a psychiatrist to cure her smoking. The psychiatrist discovers through hypnosis that she is the reincarnation of a well-born English lady — with whom he finds himself falling in love — in Burton Lane and Alan Jay Lerner's musical.
An Evening with Patti LuPone and Mandy Patinkin,Tony Award winners and Evita co-stars Patti LuPone and Mandy Patinkin reunite for an intimate telling of a musical love story.
Stick Fly,NA
Porgy and Bess,"George Gershwin, Ira Gershwin and DuBose Heyward's operatic adaptation of Heyward's play Porgy follows the lives of the inhabitants of Catfish Row, an African-American section of Charleston, South Carolina, including the crippled Porgy, his beloved Bess, who is under the thrall of the dangerous Crown, and the sinewy drug dealer Sportin' Life."
The Road to Mecca,"In a desolate stretch of the Karoo Desert in South Africa, an elderly woman has turned her home into a highly personal work of art. The townspeople are threatened by her eccentricity and want to send her to an old age home, but a younger woman, a kindred spirit, wants to save the woman and her home."
Wit,NA
Shatner's World: We Just Live in It,"Audiences are taken on a trip through the colorful life and career of William Shatner, known as much for his unique persona as for his work on television and film."
Once,NA
Evita,An obscure and ambitious actress becomes the powerful and controversial first lady of Argentina.
Ghost The Musical,"After Sam is murdered on the street, he finds himself trapped as a ghost between this world and the next. He tries to communicate with girlfriend Molly through a phony psychic in the hope of saving her from his murderer."
