"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"New Bern Post",,https://newbernpost.com,"Rand Foster",Yes,"New Bern",NC,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,0,81-90,0-10,0-10,0-10,"Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, Investigative news, Single-subject news",,"Business, Corruption, Government, Planning & Development, Politics",,,,"Programmatic advertising, Small individual gifts",,,"Programmatic advertising",,,,Display,,"Compelled competing print newspaper where I was once editor to avoid layoffs and continue covering local government.","This site, newbernpost.com, is hyperlocal and focused for a niche audience: people who care about their city enough to slog through stories about what their elected representatives in city hall are deciding, and how city employees are carrying it out. When I branch out to other areas, it is only when relevant to what I care about the most: New Bern."
"New Brunswick Today",,https://newbrunswicktoday.com,,No,"New Brunswick",NJ,"United States",English,,,"For Profit",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Brunswick Today was created to improve the level of civic discourse in the City of New Brunswick by educating the public about the issues that matter most to the local community, with an emphasis on empowerment."
"New Canaanite",,https://newcanaanite.com,,No,"New Canaan",CT,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Immediate, shareable and in the voice of our town—New Canaanite, launched Jan. 31, 2014, covers New Canaan with a uniquely local sensibility and digitally focused approach that cannot be found elsewhere."
"New Hampshire Center for Public Interest Journalism",,http://indepthnh.org,,No,Barrington,NH,"United States",English,,,"Not for Profit",2015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Welcome to InDepthNH.org, the nonprofit watchdog news website published by the New Hampshire Center for Public Interest Journalism."
"New Haven Independent",,https://newhavenindependent.org,,No,"New Haven",CT,"United States",English,,,"Not for Profit",2005,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven. Its neighborhoods. Its government. Its people - from the knuckleheads to the dreamers and schemers, and everyone in between.
That’s what this web site is about: A five-day-a-week report on news about the City of New Haven, Connecticut, produced by veteran local journalists, and by you."
"New Jersey Urban News",,https://njurbannews.com,"Dorothy Howell, Penda C. Howell",Yes,Newark,NJ,"United States",English,,LLC,LLC,2019,2,61-70,0-10,0-10,21-30,"Newsletters, Originally-reported articles",,"Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Health & Medicine, Race & Ethnicity, Social Justice & Inequality",,"Ethnic communities, People of color",,"Haven’t generated revenue yet, but intend to do so",,,"Direct sold advertising",,,,,,"New Jersey Urban News provides a platform for news covering and serving marginalized communities of New Jersey. We seek to provide unbiased reporting on issues related to the communities who they impact the most. Communities that are historically underrepresented by providing only the most truthful, reliable, uplifting news-worthy news.","Our mission is to empower the community with local news and information. Our coverage includes community news, city and state, politics, health, business, education, church, sports and arts and entertainment.
The motto of NJ Urban News is ""A Voice for the Voiceless."" We are committed to covering stories often overlooked by mainstream media impacting the 1.1 million people that make up New Jersey's Black community. We are also committed to telling our narrative on our own platform."
"New Mexico Compass",,https://nmcompass.com,,No,,NM,"United States",English,,,"Not for Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"The New Mexico Compass is a nonprofit startup dedicated to transparent, open-access journalism.
The Compass focuses on telling stories that matter to the public, in ways that matter. Combined with the educational efforts of its parent organization, the New Mexico Journalism Collaborative, the Compass strives to be a model for reporting that strengthens the community, fosters citizen journalists and contributes to a healthy journalism ecosystem."
"New Mexico In Depth",,https://nmindepth.com,"Trip Jennings",Yes,"Rio Rancho",NM,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,61-70,11-20,0-10,21-30,"Newsletters, Originally-reported articles",,"Print, Social media, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news",,"Crime & Justice, Education & Schools, Government, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,,,,,"Our work has led to the release of a state prison offender and forced local prosecutors to change how they investigate fatal law enforcement shootings. Our investigative work in federal court led judges to sentence individuals swept up in a 2016 drug sting to time served rather than years behind bars as federal prosecutors wanted. Our work has led to changed state laws in the areas of disclosure for lobbyists and state lawmakers. State lawmakers have repeatedly championed issues after we've written about them, including the state's lax approach to collecting racial/ethnic data in the state criminal justice system. .","New Mexico In Depth is a member-supported, digital first, nonpartisan news organization. We were founded in 2012 as a response to ongoing downsizing among traditional news organizations.
Our mission is to produce investigative, data-rich stories with an eye on solutions that can be a catalyst for change.
Through partnership with other news organizations, we expand the reach of our stories. And we invest in the young reporters of tomorrow through fellowships and internships."
"New York County Politics","Never Sink Media",https://www.newyorkcountypolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2019,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,
"New York Focus",,https://www.nysfocus.com/,,Yes,"New York",NY,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,2,71-80,0-10,0-10,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, State/Province","In-depth feature and explanatory reporting, Investigative news",,"Corruption, Crime & Justice, Environment, Housing, Politics",,"Low-income communities",,"Foundation funding, Grants",,,Grants,,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our investigation of the trials faced by New Yorkers released from jail without ID was discussed in a City Council hearing, prompting legislators to examine the possibility of issuing ID upon jail discharge.

Our reporting on the burning of toxic waste steps away from a public housing complex pressured the governor to sign into law an incineration ban that had teetered on the edge of veto.
 ","Launched in October 2020, New York Focus aims to help make state politics more democratic by publishing adversarial, in-depth reporting that cuts through the noise to explain how the Empire State really works. Our areas of coverage include housing and homelessness, energy and climate, criminal justice and health, tax and budget, and the administration of Governor Andrew Cuomo. We routinely co-published stories with publications including Gotham Gazette, City & State, The City, and Jacobin."
"Newark Pulse",,https://newarkpulse.com,,No,Newark,NJ,"United States",English,,,"For Profit",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Today NewarkPulse.com is the most popular Newark-based website, having developed the most comprehensive events calendar in the city, launched the first shop local programs in the city as well as Newark Small Business Week, a content partnership with the Greater Newark Convention & Visitors Bureau, a downloadable Summer Guide, the first guide for Newark college students, successful block parties on Halsey Street, and breaking news about some of the city's most positive events including the announcement of both Whole Foods and Chipotle."
"Newport Dispatch",,https://newportdispatch.com,,No,"Derby Line",VT,"United States",English,,,"For Profit",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are the first local, online-only news and entertainment source for the city of Newport, and Orleans County, Vermont. We report on the extraordinary people, issues, events, food, and environment in our NEK of the woods.
The purpose of the site is to provide local residents with timely news and information relating to the towns within Orleans County, Vermont. We are also committed to hyperlocal, in-depth reporting on events throughout our communities."
NewsAtomic,,https://newsatomic.com,"Sharon Richman, Alex Shiffer",Yes,,NY,"United States",English,,LLC,LLC,2017,3-5,21-30,21-30,21-30,0-10,,,,,,,,,,,,,,,,,,,,,,"NewsAtomic publishes a collection of great local journalism produced by newspapers, magazines and many Hudson Valley-based writers and reporters. Our first contributing publication was the Shawangunk Journal — an award-winning weekly newspaper for the communities of New York's Shawangunk Ridge. Locally owned and locally produced by dozens of area writers, the Shawangunk Journal is read and loved by thousands of loyal readers every week."
