title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
Acid Head: The Buzzard Nuts County Slaughter (2011),Action| Crime| Horror| Music| Thriller,1-Aug-12,Canada,NA,2.4,145 min,"Directed by Tony Watt. With Vivita, Tony Watt, Lewis Mercer, Lana Tailor. Acid scarred teenager : Pheromone Labonza (aka Acid Head) is a vengeful, bloodsucking cannibal goth-girl killer that slashes her way though rural Buzzard Nuts County, N.Y.'s roadside and Vom College sorority House (which also serves as an underground whorehouse, built on the grave-site of a top-hatted poltergeist...a nefarious, evil force), then disappears. One year later, guess who's back to the...",Vivita|Tony Watt|Lewis Mercer|Lana Tailor|Deanna Prall|Rooster|Ron Basch|James Taggart|Elvin Domenic|Kim Sønderholm|Eric Scealf|Victoria Iris Stack|Paul Nicholls|Jane Longeye|Adam Schickedanz,English,NA,"CAD 50,000"
Qaqqat Alanngui (2011),Horror| Thriller,13-Oct-12,Denmark,NA,6.9,127 min,"Directed by Malik Kleist. With Ujarneq Fleischer, Eqaluk Høegh, Jeff Joensen, Aviaja Hegelund Johansen. A group of young friends decide to go on a graduation trip for the weekend to a family owned cabin in the isolated mountains of Greenland. Once there, trouble manifests when they discover they aren't alone, and there could actually be some truth behind a local urban legend.",Ujarneq Fleischer|Eqaluk Høegh|Jeff Joensen|Aviaja Hegelund Johansen|Ane Sofie Kruse|Angunnguaq Larsen|Ulla Larsen Lennert|Angayo Lennert-Sandgreen|Mike Thomsen,Greenlandic,"Nuuk, Greenland","DKK 2,100,000"
Cut/Print (2012),Horror| Thriller,2-Nov-12,USA,UNRATED,5.1,92 min,"Directed by Nathaniel Nose. With Ele Bardha, Angela Chetcuti, Chelsey Fatula, Ken Foree. A group of ambitious filmmakers set out to create the world's first reality horror movie. Their plan was simple; they'd offer an active serial killer complete anonymity and a worldwide platform from which to display his work in exchange for genuine footage of his grisly crimes. What ensues is a hellish game of cat and mouse as a cryptic filmmaker, known only as The Maestro, comes out from hiding ...",Ele Bardha|Angela Chetcuti|Chelsey Fatula|Ken Foree|Tamara Frapasella|Randall Godwin|Gavin Heffernan|Janice Hewitt|Erik F. Hill|Joan Jack|Dave Marchant|Christian Mathis|Craig Meier|Michael Mili|Bryce Molacek,English,NA,"$1,000,000"
Theatre of the Deranged (2012),Comedy| Horror| Thriller,20-Jun-12,USA,NA,4.3,66 min,"Directed by James Cullen Bressack, Creep Creepersin, Brian Dorton. With Cory Jacob, Kirsty Hill, Shawn C. Phillips, Veronica Ricci. Andy the Arsonist welcomes everyone to his theater of derange for a wild night of thrills, chills and spills. Andy kick's off the night by hosting five short horror films from some of the best Horror Writer/Directors in the indie scene.",Cory Jacob|Kirsty Hill|Shawn C. Phillips|Veronica Ricci|M. Kelley|James Cullen Bressack|Brian Dorton|Doug Waugh|Brian Redban|Jon Bloch|Douglas Conner|Kevin E. Scott|Stephen Phillips|Ethan Phillips|Kim Phillips,English,NA,NA
H Project (2013),Horror,31-Oct-13,Thailand,NA,4.8,118 min,"Directed by Piyapan Choopetch. With Apinya Sakuljaroensuk, Pirat Nipitpaisalkul, Alexander Rendell, Sushar Manaying. Hashima Island was once the most densely populated island but has been a ghost island since 1974. A group of teenagers will now step foot on this island to capture paranormal encounters on tape. On the island, the teenagers are thrilled as they explore. However, their excitement is short-lived. They realize something ominous is creeping up on them and the hair-raising truth unveils through the ...",Apinya Sakuljaroensuk|Pirat Nipitpaisalkul|Alexander Rendell|Sushar Manaying|Mek Mekwattana|Shô Nishino,Thai,"Hashima Island, Nagasaki Prefecture, Japan",NA
A Devil's Wind (2017),Horror,25-Jul-17,USA,UNRATED,NA,NA,"Directed by Bill Zebub. With Erica Leigh Boseski, Kayla Browne, Brielle Edborg, Mel Heflin. A bizarre weather phenomenon destroys parts of Clifton, New Jersey. Residents are advised to flee, but a few remain to test Fate. The storm is a symbol for change. Those who face the unknown can get swept up in the frightening current, but those who let Life make changes for them (accepting changes passively) become destroyed. This is beyond horror or science fiction. It is a movie that was ...",Erica Leigh Boseski|Kayla Browne|Brielle Edborg|Mel Heflin|Vania Mendez,English,NA,"$5,000"
Bloody Drama (2017),Horror,30-Oct-17,USA,NA,NA,NA,"Directed by Colin Bressler. With Katusha Robert, Billionna Olivia Reyes, Mike Ettnie, Scotty Walker. Bloody drama follows the story of a pool party involving five former college sororiety sisters attempting one last weekend blowout. While trying hard to grab onto their fun youth filled past they are faced with what is their troubled divisive present. As they water down their issues with booze and drugs unbeknownst to them an evil lurks around them with murderous convictions. How much carnage ...",Katusha Robert|Billionna Olivia Reyes|Cristina Cruz Rodríguez|Makayla Keck|Mike Ettnie|David Carbajal|Sky Hawkes|Scotty Walker|Ivy Lamb,English,"San Antonio, Texas, USA","$2,000"
Blood Rush (2012),Comedy| Drama| Horror,1-Aug-12,USA,TV-MA,4.2,92 min,"Directed by Evan Marlowe. With Kerry Finlayson, Don Donnelley, Christy Lee Hughes, Helen Soraya. When a small town is overcome with a blood lust, the local Witch Doctor is thought to be the source. What they don't know is that he has a different agenda.",Kerry Finlayson|Don Donnelley|Christy Lee Hughes|Helen Soraya|Samantha Michelle|Emrhys Cooper|John Wuchte|Myles Cranford|Kaden Graves|J.P. Giuliotti|Danielle Reierson|Charles Iacuzzo|Granison Crawford|Amanda Barton|David Alen,English,"Los Angeles, California, USA",NA
Absence (2013),Horror| Sci-Fi| Thriller,5-Jul-13,USA,NOT RATED,4.1,84 min,"Directed by Jimmy Loweree. With Erin Way, Eric Matheny, Ryan Smale, Stephanie Scholz. After her unborn baby is snatched from her womb, Liz and her husband take a vacation to help them overcome the horrifying and mysterious loss. Her brother documents the trip as Liz continues to be terrorized by an unknown force.",Erin Way|Eric Matheny|Ryan Smale|Stephanie Scholz|Tamra Meskimen|David Paladino|Lee Burns|Linda Paice|Michael Angelo Covino|Don Moss,English,NA,NA
The Thingy: Confessions of a Teenage Placenta (2013),Comedy| Drama| Horror,25-Jun-13,Belgium,NA,5.6,84 min,"Directed by Joël Rabijns, Yves Sondermeier. With Pascal Maetens, Karel Vingerhoets, Celine Verbeeck, Jérémie Petrus. The heartbreaking story of a living placenta that is raised as a human, a christian, a soldier.",Pascal Maetens|Karel Vingerhoets|Celine Verbeeck|Jérémie Petrus|Andreas Perschewski|Sofie Hoflack|Koen Blauwblomme|Korneel Cornelis|Gert Jochems|Chris Bale|Renato Brabants|Miro Brooks|Wim A. Christiaens|Eline Danasovsky|Ben De Raes,English,NA,NA
Coven (2017),Horror,2017,USA,NA,NA,NA,"Directed by Margaret Malandruccolo. With Terri Ivens, Sofya Skya, Jocelyn Saenz, Lizze Gordon.",Terri Ivens|Sofya Skya|Jocelyn Saenz|Lizze Gordon|Jennifer Cipolla|Adam Horner|Jessica Louise Long|Miranda O'Hare|Sara Stretton|Margot Major|Russell Herrera Jr.|Aaron James|Jarod Martin|Sophie Kiani,English,"Tulsa, Oklahoma, USA",NA
Dark Entry (2016),Horror,20-Apr-16,USA,NOT RATED,NA,87 min,"Directed by Thomas David Dean. With Thomas David Dean, Jessica Anne Barone. Regardless of the real curse of Dudleytown, Connecticut, there is an energy that goes beyond human understanding. Ancient religions were based on the earth and it's energies. Most ancient religions believed that the tops of mountains were a doorway (portal) to another world because they were closer to the heavens than anywhere else.",Thomas David Dean|Jessica Anne Barone,English,"Litchfield, Connecticut, USA","$50,000"
Bring Back the Dead (2015),Horror,8-Jan-15,Singapore,NA,6.4,86 min,"Directed by Thean-jeen Lee. With Jesseca Liu, Ling Ling Liu, Wei-wen Chiang, Shawn Tan. When her seven-year-old son dies in a tragic road accident, a grieving mother (Jesseca Liu), with the help of her former caregiver Mdm Seetoh (Liu Ling Ling), resorts to supernatural forces to bring back his soul so he can be 'by her side' at home. However, after several strange and even deadly occurences in the house, she begins to suspect that there is something amiss with the soul she has ...",Jesseca Liu|Ling Ling Liu|Wei-wen Chiang|Shawn Tan|Timothy Law|XueTing Tjoa|Lizzie.V.|Alan Yeo,Mandarin,NA,"SGD 1,100,000"
Fear Is Coming (2016),Horror| Thriller,25-Mar-16,China,NA,4.4,NA,"Directed by Zhang Yang. With Mengmeng Li, Jiao Ren, Mik Thongraya, Sunny Xie. A haunted cinema is a popular attraction for visiting tourists. But supernatural things happen at the old Cinema and soon visiting tourists start to die mysterious deaths one by one. Could this be associated with the haunts of the cinema?",Mengmeng Li|Jiao Ren|Mik Thongraya|Sunny Xie|Yang Xing|Xihan Xu|Yoyo,Chinese,NA,NA
The Summer of Massacre (2012),Horror| Thriller,24-Jan-12,USA,NA,2.6,NA,"Directed by Joe Castro. With Brinke Stevens, Nick Principe, Cleve Hall, Lisa M. Garcia. This anthology slasher film presents eight killers in five gory tales.",Brinke Stevens|Nick Principe|Cleve Hall|Lisa M. Garcia|Lauren Boehm|Scott Barrows|Felipe Winslett|Sean Abley|Daniel Aldema|Ted Alderman|Nick Rey Angelus|Ken Ashe|Rod Barroso|Tchia Casselle|Joe Castro,English,NA,"$750,000"
Ang pagsanib kay Leah Dela Cruz (2017),Drama| Horror| Mystery| Thriller,28-Jun-17,Philippines,NA,5.3,97 min,"Directed by Katski Flores. With Sarah Lahbati, Shy Carlos, Julian Trono, Mailes Kanapi. A lady cop who moves into a small town gets drawn to a case that involves a girl that's possessed by an evil spirit.",Sarah Lahbati|Shy Carlos|Julian Trono|Mailes Kanapi|Michael Rivero|Olive Nieto|Micah Muñoz|Aireen Almonte|Jim Paredes,Filipino|Tagalog,NA,NA
The Wolves of Savin Hill (2017),Crime| Drama| Horror,1-Sep-17,USA,NA,7.4,100 min,"Directed by John Beaton Hill. With David Cooley, Brian Scannell, Kurt Fuller, Jack McGee. Childhood friends from Boston drift apart following a shocking discovery deep in the woods of Savin Hill. Years later a tragic murder brings them together again. But for one man, it's no mistake. A trap has been set... After serving time for a crime he didn't commit, TOM GREYS is released from prison with a score to settle: he is dead-set on tracking down the man who set him up... his childhood ...",David Cooley|Brian Scannell|Kurt Fuller|Jack McGee|Michael Massee|Paul Carafotes|Tim DeZarn|Tonya Cornelisse|Megan Davis|Suzanne Willard|Jordan Van Vranken|Marco Verdier|Jason Oliver|Tiprin Mandalay|Nicole Haddad,English,"Los Angeles, California, USA",NA
She Wolf (2013),Action| Horror| Thriller,20-Sep-13,USA,NA,5.9,92 min,"Directed by Tamae Garateguy. With Mónica Lairana, Guadalupe Docampo, Luján Ariza, Edgardo Castro. She Wolf is a serial killer who traps her men in the subway in Buenos Aires. She seduces, has sex with them and kills them. But one of those men is a police officer who is investigating her crimes. Running away from him she meets a dealer with whom she stars a relationship. This romance unravels a war between her three personalities: the monster woman, the sensual woman and the human woman who ...",Mónica Lairana|Guadalupe Docampo|Luján Ariza|Edgardo Castro|Nicolás Gold|Guillermo Pfening|Germán Da Silva|César Bordón|Hernán Bustos|Miguel Forza de Paul|Javier De Pietro|José Luciano González|Diego Rinaldi,Spanish,NA,NA
The Second Coming (2014),Fantasy| Horror| Thriller,13-Mar-14,Singapore,NA,4.8,88 min,"Directed by Tin Chi Ng, Herman Yau. With Yuet Chin, Joey Leong, Donald Li, Yat-Long Li. All the CHEN family want is a quiet life but as daughter Lucy's behavior changes from strange to violent, they are forced to confront dark secrets they have hidden for years. One by one, their desperate poverty, the mother's rape and the father's revenge by murder return to haunt them...until a searing TRUTH no one knew is revealed. Will this truth give them a second chance to right the wrongs in...",Yuet Chin|Joey Leong|Donald Li|Yat-Long Li|Maggie Siu|Cindy Sin Yee Wong|Kenny Wong|Tak-Bun Wong,Cantonese|Mandarin,NA,NA
Necronos (2010),Horror,18-Mar-14,USA,NOT RATED,3.8,127 min,"Directed by Marc Rohnstock. With Thomas Sender, Manoush, Timo Fuchs, Mario Zimmerschitt. Necronos, one of the mightiest minions of the devil himself has come to earth to create an invincible army of the undead under leadership of barbaric demons, called Berzerkers. To achieve his goal Necronos needs numerous often very macabre and difficult to come by ingredients. So Satan sends him two assistants to achieve his goal - Goran, a Blood Demon and footman loyal to Necronos as well as The...",Thomas Sender|Manoush|Timo Fuchs|Mario Zimmerschitt|Alexander Andreszka|Tanja Karius|Saskia Neumüller|Mike Weishaupt|Denissa Schmidt|Toni Reckert|Patrick Bender|Luna B.|Bloody Marlen|Ann-Christin Rosenkranz|Andrea Schmitt,German,"Bingen, Rhineland-Palatinate, Germany",NA
Death Do Us Apart (2014),Comedy| Horror,1-Jul-14,UK,NA,6.5,NA,"Directed by Shaub Abdul Miah. With Maxine Barnham, Jane Foufas, Joseph Gale, Jema Gilsenan. It's a right of passage for a young man called Jake who has never been out in his life and his friends decide to take him on a trip of a lifetime.",Maxine Barnham|Jane Foufas|Joseph Gale|Jema Gilsenan|Wayne Gordon|Andy Mcleod|Josh Myers|Martin Myers|Sagar Radia|David Roden|Georgina Stupar|Lucinda Rhodes Thakrar|Simon Warner,English,"Soho, London, England, UK",NA
Another Kind (2013),Horror| Thriller,23-Nov-13,USA,NOT RATED,5.2,76 min,"Directed by Jonathan Blitstein. With Jamie Law, Nate Miller, Laura Ramadei, Patrick Woodall. A group of unprepared weekend hikers go missing while snowshoeing in the Catskill Mountains.",Jamie Law|Nate Miller|Laura Ramadei|Patrick Woodall,English,"Brooklyn, New York City, New York, USA","$120,000"
Still (2016),Comedy| Horror,26-Oct-16,USA,NA,8.4,NA,"Directed by Carl Timms. With Joe Capella, Jonathan Hickman, Lisa Barnett, Sharon Elizabeth Greenwood. Still is an award-winning dark zombie comedy about a living statue entertainer caught up in the middle of a zombie outbreak. He finds himself frozen in fear whilst everyone around him flees or dies at the hands of the attacking zombie horde. Left alone by the unknowing zombies in an large open square surrounded on all sides he has to rely on his amazing ability to stand very still to try work out...",Joe Capella|Jonathan Hickman|Lisa Barnett|Sharon Elizabeth Greenwood|Rob Hall|Julie Wallis,English,"Golden Square, Birmingham, England, UK",NA
P.O.V. - A Cursed Film (2012),Horror,18-Feb-12,Japan,NA,5.8,92 min,"Directed by Norio Tsuruta. With Yasuyuki Hirano, Haruna Kawaguchi, Takashi Kodama, Yasuto Kosuda. As part of a show, Haruna and Mirai watch a ghost video submitted by a viewer, only to experience strange occurrences that later draw the crew to Haruna's school; the location of the taken video.",Yasuyuki Hirano|Haruna Kawaguchi|Takashi Kodama|Yasuto Kosuda|Yûki Mashita|Mayu Miura|Mirai Shida|Ami Shimazaki,Japanese,NA,NA
Mon Son Phee (2015),Comedy| Horror,29-Oct-15,Thailand,NA,5.8,NA,"Directed by Achira Nokthet. With Nutcha Jeka, Sean Jindachot, Timethai Plangsilp, Pongsatorn Sripinta.",Nutcha Jeka|Sean Jindachot|Timethai Plangsilp|Pongsatorn Sripinta|Theeradanai Suwannahom|Puvadol Vechwongsa,Thai,NA,NA
"Die, My Dear (2017)",Drama| Horror| Thriller,2017,USA,NA,7.4,90 min,"Directed by Matthew Kalamane. With Thomas Burks, Deirdre McCauley, Jeannie Ferrara, Bobe Kirsche. Victor & Miranda try and resolve their failed marriage only after they independently attempt to kill each other on the same night.",Thomas Burks|Deirdre McCauley|Jeannie Ferrara|Bobe Kirsche|Michelle Vallentyne|Penelope Morgan,English,"Pacific Grove, California, USA","$2,500"
Red Sword (2012),Horror,3-Mar-12,Japan,NA,6.8,76 min,"Directed by Naoyuki Tomomatsu. With Asami, Momoka Nishina, Tomoaki Sandan, Manzô Shinra. Long, long ago, there was a wolf-man tribe who had no women. All through history these desperate wolf men have attacked and raped female humans as a way to continue their species. But the wolf men have a terrible legend where every hundred years, on the night of a red moon, a little girl is born and she is destined to destroy the wolf-man tribe. The lecherous wolf men are so afraid of females ...",Asami|Momoka Nishina|Tomoaki Sandan|Manzô Shinra|Natsuki Yonemoto,Japanese,NA,NA
Dead Again (2017),Horror,11-Aug-17,India,NA,NA,NA,"Directed by Dave Silberman. With Bong-gi Baek, Seung-Ri Ha, Da-Yeong Ju, Dong-jun Kim.",Bong-gi Baek|Seung-Ri Ha|Da-Yeong Ju|Dong-jun Kim|Seong Yoon Kim|Han-wi Lee|Min-woo Lee,Korean,"Gwangmyeong, South Korea",NA
Tragic Theater (2015),Horror,8-Jan-15,Philippines,NA,3.2,95 min,"Directed by Tikoy Aguiluz. With Christopher De Leon, John Estrada, Andi Eigenmann, Jovic Monsod. A team of exorcists are sent into an old theater that is rumored to have been the site of a great tragedy during its construction.",Christopher De Leon|John Estrada|Andi Eigenmann|Jovic Monsod|Arvic Rivero|Roxanne Barcelo|Josh Padilla|Gab de Leon|Carissa Quintas|Janna Roque|Chloe Dauden|Clint Bondad|Sara Polverini|Sheng Belmonte|Jourdanne Castillo,Filipino|Tagalog,NA,NA
Dead Sunrise (2016),Adventure| Horror| Sci-Fi| Thriller,13-Sep-16,Australia,NA,5.7,120 min,"Directed by Michal Imielski. With Cloé Fournier, Barry French, Corinne Furlong, Peter Maple. Dead Sunrise is about a group of friends that find a research lab in the woods only to unleash little flesh eating children onto the world.",Cloé Fournier|Barry French|Corinne Furlong|Peter Maple|Roman Mellis|Georgina Neville|Brooke Ryan|Damian Sommerlad,English,NA,"AUD 30,000"
