date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1876-12-10,1876,Rose,W07576,Smack,We regret that we are unable to supply descriptive details for this record at present.,10/12/1876,"Tory Island, Co Donegal, NW point of / 9 miles NW of",NA,NA,NA
1833-01-17,1833,Rose,W07577,Unknown,We regret that we are unable to supply descriptive details for this record at present.,17/01/1833,"Ballyshannon, Co Donegal",NA,NA,NA
NA,NA,Rosguill Wreck,W07578,Whale Boat,"Spanish whaling vessel dragged its anchors and was wrecked while sheltering from bad weather in Sheephaven Bay.
----------------------------",Unknown,"Rosguill, Downings, Sheephaven Bay",NA,NA,NA
1934-06-09,1934,Rostellan (SS),W07579,Steamship,We regret that we are unable to supply descriptive details for this record at present.,09/06/1934,"Rathlyn Oâ Birne Island Lighthouse, Co Donegal, 300 yards off",NA,NA,NA
1902-02-18,1902,Rothesay,W07580,Schooner,We regret that we are unable to supply descriptive details for this record at present.,18/02/1902,"Tory Island, Co Donegal, SE End",NA,NA,NA
1852-03-08,1852,Rover (SS),W07581,Steamship,We regret that we are unable to supply descriptive details for this record at present.,08/03/1852,"Killybegs, Co Donegal",NA,NA,NA
1906-12-05,1906,Ruby,W07582,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1808-10-21,1808,Ruby,W07583,Unknown,We regret that we are unable to supply descriptive details for this record at present.,21/10/1808,"Donegal, Coast of",NA,NA,NA
NA,NA,Sacharan,W07584,Unknown,"Vessel foundered after going off course.
----------------------------",17th Century,"Aranmore, E side of",NA,NA,NA
1907-12-21,1907,Saint Finan/St. Finian,W07585,Lugger,We regret that we are unable to supply descriptive details for this record at present.,21/12/1907,Innishinny Is./Inishmaan,NA,NA,NA
1917-05-26,1917,Saint Mirren (SV),W07586,Full-rigged ship,"The Saint Mirren was a 1,956-ton, three-masted steel ship built by the Scottish shipbuilders Charles Connell & Company in 1892. It was initially owned by A. Mackey & Co., Glasgow, though at the time of its loss it was owned by Robert Thomas & Co., Liverpool, while being operated by Ship Conway Castle Co. Ltd. The vessel was lost while en route from the Clyde to Santos in Sao Paulo, under Captain J. Williams, with a 3,262-ton cargo of coal and patent fuel. It was attacked by U-87 (under the command of KapitÃ¤nleutnant Rudolf Schneider), forcing the crew to abandon the ship. The U-87 then sank the Saint Mirren by firing shells from its deck gun. The crew were rescued the next day by the SS Ebro and brought to Glasgow. GSI 

The wreck of the Saint Mirren measures 90m in length, 21m in width and 7.6m in maximum height, with an average height of 4.1m. The vessel is orientated NWâSE, and a slight scour has developed in the seafloor around the vessel. There are clear upward protrusions at the bow and stern of the wreck.
GSI Wreck No_9.
----------------------------",26/05/1917,"Inishtrahull, 45M NW",55.91496,-8.23874,GSI Wreck Data_9
1917-09-19,1917,Saint Ronald (SS),W07587,Steamship,We regret that we are unable to supply descriptive details for this record at present.,19/09/1917,"Tory Island, Co Donegal, 95 miles NNW of",NA,NA,NA
1830-10-07,1830,Saladin,W07588,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,07/10/1830,"Ballyconnell, Inishbofin",NA,NA,NA
1811-12-04,1811,Saldanha,W07590,Man O' War,We regret that we are unable to supply descriptive details for this record at present.,04/12/1811,"Lough Swilly, Saldanha Head, south end of Ballymastocker Bay",55.18823,-7.59614,National Monuments Service
1825-05-11,1825,Sally,W07591,Unknown,We regret that we are unable to supply descriptive details for this record at present.,11/05/1825,"Tory Island, Co Donegal, Island of Feroy",NA,NA,NA
1821-11-12,1821,Samuel,W07593,Brig,"Brig of Port Penryn en route from Bangor to Galway, under captain Dale. Hit a sunken rock and went to pieces. The cargo of slates saved.
----------------------------",12/11/1821,"Rutland Island, Co Donegal, rock at",NA,NA,NA
1917-12-28,1917,Santa Amalia,W07594,Tanker,We regret that we are unable to supply descriptive details for this record at present.,28/12/1917,"Malin Head, Co Donegal, 30 miles N by EÂ½E of",55.90027,-7.49717,GSI Wreck Data
1880-11-26,1880,Sarah,W07595,Schooner,We regret that we are unable to supply descriptive details for this record at present.,26/11/1880,"Lough Foyle, Moville",NA,NA,NA
1757-03-24,1757,Sarah,W07596,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,24/03/1757,"Sligo Bay, Co Sligo",NA,NA,NA
1878-05-10,1878,Sardinian (SS),W07597,Iron Steamship,We regret that we are unable to supply descriptive details for this record at present.,10/05/1878,Moville,NA,NA,NA
1889-09-17,1889,Scale Duck,W07598,Smack,We regret that we are unable to supply descriptive details for this record at present.,17/09/1889,"Portsallagh, Co Donegal",NA,NA,NA
NA,NA,Schivan,W07599,Brig,We regret that we are unable to supply descriptive details for this record at present.,February 1853,"Ballina, Co Mayo, 4 miles NE, at Castleconner",NA,NA,NA
1843-02-04,1843,Scotland,W07600,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/02/1843,"Gweedore River, entrance to",NA,NA,NA
1940-06-13,1940,Scotstoun (SS),W07601,Liner,We regret that we are unable to supply descriptive details for this record at present.,13/06/1940,"Inishtrahull, c.200 miles W of",NA,NA,NA
1940-07-17,1940,Scottish Minstrel (MV),W07602,Tanker,We regret that we are unable to supply descriptive details for this record at present.,17/07/1940,"Tory Island, Donegal, 128km NW",56.16028,-9.54638,UKHO Wreck Data
1939-11-20,1939,Sea Sweeper,W07603,Trawler,We regret that we are unable to supply descriptive details for this record at present.,20/11/1939,"Tory Island, Co Donegal, offshore, 30 miles NNW of",55.66083,-8.86667,UKHO
1875-03-10,1875,Sealer,W07604,Brigantine,We regret that we are unable to supply descriptive details for this record at present.,10/03/1875,Moville Bay,NA,NA,NA
1917-05-21,1917,Senator / MT295,W07605,Trawler,We regret that we are unable to supply descriptive details for this record at present.,21/05/1917,"Tory Island, Co Donegal, offshore",NA,NA,NA
1917-06-26,1917,Serapis (SS),W07606,Steamship,We regret that we are unable to supply descriptive details for this record at present.,26/06/1917,"Tory Island, Co Donegal, 106 miles NNW Â½ W of",NA,NA,NA
1905-03-07,1905,Shamrock,W07607,Spritsail,We regret that we are unable to supply descriptive details for this record at present.,07/03/1905,Trebane / near Tribane Station,NA,NA,NA
1905-06-20,1905,Shamrock,W07608,Boat,We regret that we are unable to supply descriptive details for this record at present.,20/06/1905,Arranmore and Owey Island,NA,NA,NA
1907-12-02,1907,Shamrock,W07609,Yawl,We regret that we are unable to supply descriptive details for this record at present.,02/12/1907,"Chapel Strand, Arranmore Island",NA,NA,NA
1929-05-06,1929,Sheila,W07610,Yacht,We regret that we are unable to supply descriptive details for this record at present.,06/05/1929,"Clady River, Bunbeg",NA,NA,NA
1907-11-13,1907,Silvercup,W07611,Lugger,We regret that we are unable to supply descriptive details for this record at present.,13/11/1907,"Downings Bay, The Hole,",NA,NA,NA
1847-08-16,1847,Sirion,W07612,Sailing Boat,We regret that we are unable to supply descriptive details for this record at present.,16/08/1847,"Tory Island, Co Donegal",NA,NA,NA
1853-01-24,1853,Sisters,W07613,Sloop,We regret that we are unable to supply descriptive details for this record at present.,24/01/1853,"Tory Island, Co Donegal",NA,NA,NA
1890-02-03,1890,Slieve Donard,W07614,Sloop,We regret that we are unable to supply descriptive details for this record at present.,03/02/1890,"McSwyneâs Bay / Mac Swines Bay, Co Donegal / Brimanoo Point, west of entrance to Killybeg",NA,NA,NA
1906-12-05,1906,Slieveleague,W07615,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1917-06-04,1917,Southland (SS),W07616,Steamship,We regret that we are unable to supply descriptive details for this record at present.,04/06/1917,"Tory Island, Co Donegal, 140 miles NW by W of",56.16667,-12.23333,wrecksite.eu
1798-12-04,1798,Speculation,W07617,Unknown,We regret that we are unable to supply descriptive details for this record at present.,04/12/1798,"Tory Island, Co Donegal",NA,NA,NA
NA,NA,Spray,W07618,Unknown,We regret that we are unable to supply descriptive details for this record at present.,1833,"Tory Island Sound, Co Donegal",NA,NA,NA
1847-03-08,1847,Spring,W07619,Sailing Ship,We regret that we are unable to supply descriptive details for this record at present.,08/03/1847,Donegal,NA,NA,NA
1906-12-05,1906,St. Francis,W07620,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1911-11-05,1911,St. Catherine,W07621,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Teelin, Co Donegal, Tawney Bay",NA,NA,NA
1898-03-09,1898,St. Columb,W07622,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,09/03/1898,"Killybegs, 11 miles NNW of / Doonalt, Glencolumbkille",NA,NA,NA
1911-11-05,1911,St. Dympna,W07623,Yawl,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Teelin, Co Donegal, Cladnagerah",NA,NA,NA
1911-11-05,1911,St. Gerald Majella,W07624,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Keadew Bay, at Castleport",NA,NA,NA
1911-11-05,1911,St. John II,W07625,Zulu,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Sheephaven, Co Donegal, Downings, Pt.Cormack",NA,NA,NA
1896-10-18,1896,St. Mary,W07626,Yawl,We regret that we are unable to supply descriptive details for this record at present.,18/10/1896,"Rathlyn Oâ Birne Island, Co Donegal",NA,NA,NA
1911-11-05,1911,St. McBrecan,W07627,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Donegal Bay, Teelin Pier",NA,NA,NA
1911-11-05,1911,St. Michael II,W07628,Zulu,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,"Sheephaven, Co Donegal, Downings Bay",NA,NA,NA
1910-12-07,1910,St. Patrick,W07629,Lugger,We regret that we are unable to supply descriptive details for this record at present.,07/12/1910,"Inishsirrer Island, SE side",NA,NA,NA
1911-11-05,1911,St. Paul,W07630,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/11/1911,Inishmean Roads,NA,NA,NA
1906-12-05,1906,St. Aengus/St. Angus,W07631,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1906-11-19,1906,St. Ambrose,W07632,Lugger,We regret that we are unable to supply descriptive details for this record at present.,19/11/1906,"Portnablagh, Sheephaven / Muslack Point, Downings Bay, Co Donegal.",NA,NA,NA
1908-11-22,1908,St. Andrew,W07633,Lugger,We regret that we are unable to supply descriptive details for this record at present.,22/11/1908,"Sheephaven Bay, Co Donegal",NA,NA,NA
1908-01-29,1908,St. Anthony,W07634,Lugger,We regret that we are unable to supply descriptive details for this record at present.,29/01/1908,"Tramore, Co Waterford, strand",NA,NA,NA
1908-01-28,1908,St. Bernard,W07635,Lugger,We regret that we are unable to supply descriptive details for this record at present.,28/01/1908,Downings,NA,NA,NA
1908-11-25,1908,St. Brendan,W07636,Lugger,We regret that we are unable to supply descriptive details for this record at present.,25/11/1908,Downings Bay,NA,NA,NA
1908-01-28,1908,St. Columba,W07637,Lugger,We regret that we are unable to supply descriptive details for this record at present.,28/01/1908,"Sheephaven Bay, Co Donegal",NA,NA,NA
1908-01-29,1908,St. Connell,W07638,Lugger,We regret that we are unable to supply descriptive details for this record at present.,29/01/1908,Downings Bay,NA,NA,NA
1902-10-15,1902,St. Davoc,W07639,Fishing boat,We regret that we are unable to supply descriptive details for this record at present.,15/10/1902,"Downings Bay, Co Donegal",NA,NA,NA
1903-10-12,1903,St. Eawan,W07640,Lugger,We regret that we are unable to supply descriptive details for this record at present.,12/10/1903,"Sheephaven, Co Donegal, W of Breaghy Head,",NA,NA,NA
1906-12-05,1906,St. Ernan,W07641,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1904-12-05,1904,St. Findon,W07642,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1904,Downings Pier,NA,NA,NA
1906-12-05,1906,St. John,W07643,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1918-06-03,1918,St. John's,W07644,Trawler,We regret that we are unable to supply descriptive details for this record at present.,03/06/1918,"Tory Island, Co Donegal, offshore, 45 miles NW of / N of",55.33333,-8.33333,UKHO
1906-12-05,1906,St. Malachy,W07645,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1908-01-29,1908,St. Mark,W07646,Lugger,We regret that we are unable to supply descriptive details for this record at present.,29/01/1908,Downings Bay,NA,NA,NA
1906-12-05,1906,St. Michael,W07647,Lugger,We regret that we are unable to supply descriptive details for this record at present.,05/12/1906,Downings Bay/Kincasslagh,NA,NA,NA
1908-01-28,1908,St. Mura,W07648,Lugger,We regret that we are unable to supply descriptive details for this record at present.,28/01/1908,Downings Bay,NA,NA,NA
