medal,beer_name,brewery,city,state,category,year
Gold,Pyramid Crystal Weizen,Pyramid Breweries Inc,Seattle,WA,American-Style Wheat Beer,2007
Silver,Brewmaster Reserve,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Beer,2007
Bronze,Wheatmiser,Goose Island Brewpub,Chicago,IL,American-Style Wheat Wine Ale,2007
Gold,Killer Kowalski,Flossmoor Station Brewing Co.,Flossmoor,IL,Baltic-Style Porter,2007
Silver,Foothills Baltic Porter,Foothills Brewing,Winston-Salem,NC,Baltic-Style Porter,2007
Bronze,Amnesia,"Grumpy Troll Brewery, Restaurant & Pizzeria (The)",Mount Horeb,WI,Baltic-Style Porter,2007
Gold,John Barley Corn Barleywine,Mad River Brewing Co.,Blue Lake,CA,Barley Wine Style Ale,2007
Silver,Cereal Killer Barley Wine,Arcadia Brewing Co.,Battle Creek,MI,Barley Wine Style Ale,2007
Bronze,3 Guy Off the Scale Barley Wine,Dark Horse Brewing Co.,Marshall,MI,Barley Wine Style Ale,2007
Silver,Southampton Double White Ale,Southampton Publick House,Southampton,NY,Belgian and French-Style Ale,2007
Bronze,Domaine Dupage,Two Brothers Brewing Co.,Warrenville,IL,Belgian and French-Style Ale,2007
Gold,Triple Dipsea Belgian-Style Ale,Marin Brewing Co.,Larkspur,CA,Belgian Style Abbey Ale,2007
Silver,Green Flash Trippel,Green Flash Brewing Co.,Vista,CA,Belgian Style Abbey Ale,2007
Bronze,Four,Allagash Brewing Co.,Portland,ME,Belgian Style Abbey Ale,2007
Gold,Celis Grand Cru,Michigan Brewing Co.,Webberville,MI,Belgian Style Strong Specialty Ale,2007
Silver,Redrock Reve,Redrock Brewing Co.,Salt Lake City,UT,Belgian Style Strong Specialty Ale,2007
Gold,High Mountain Cherry Ale,Rubicon Brewing Co.,Sacramento,CA,Belgian-Style Sour Ale,2007
Silver,Supplication,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Sour Ale,2007
Bronze,Kriek de Hill,Iron Hill Brewery & Restaurant - Media,Media,PA,Belgian-Style Sour Ale,2007
Silver,John's Generations White Ale,Millstream Brewing Co.,Amana,IA,Belgian-Style White (or Wit)/Belgian-Style Wheat,2007
Gold,Pub Bitter,Deschutes Brewery,Bend,OR,Bitter or Pale Mild Ale,2007
Silver,Squatters Organic Amber Ale,Utah Brewers Cooperative,Salt Lake City,UT,Bitter or Pale Mild Ale,2007
Gold,Troegenator,TrC3=B6egs Brewing Co.,Harrisburg,PA,Bock,2007
Silver,Gruffmeister 8 Maibock,Foothills Brewing,Winston-Salem,NC,Bock,2007
Bronze,Butthead Bock,Tommyknocker Brewery,Idaho Springs,CO,Bock,2007
Gold,Gordon Biersch Czech Lager,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,Bohemian Style Pilsener,2007
Silver,Pallavicini Pilsner,Pug Ryan's Brewery,Dillon,CO,Bohemian Style Pilsener,2007
Bronze,Detroit Lager,Detroit Beer Co. (The),Detroit,MI,Bohemian Style Pilsener,2007
Gold,Pioneer Porter,Fredericksburg Brewing Co.,Fredericksburg,TX,Brown Porter,2007
Silver,Prospector Porter,Tommyknocker Brewery,Idaho Springs,CO,Brown Porter,2007
Gold,Organic Zwickelbier,Redrock Brewing Co.,Salt Lake City,UT,Cellar or Unfiltered Beer,2007
Silver,Cambridge Amber,Cambridge Brewing Co.,Cambridge,MA,Cellar or Unfiltered Beer,2007
Bronze,Hop Angel I.P.A.,Chelsea Brewing Co.,New York,NY,Cellar or Unfiltered Beer,2007
Silver,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Classic English Style Pale Ale,2007
Bronze,Summit Extra Pale Ale,Summit Brewing Co.,St. Paul,MN,Classic English Style Pale Ale,2007
Gold,Moylan's Irish Dry Stout,Moylan's Brewing Co.,Novato,CA,Classic Irish-Style Dry Stout,2007
Bronze,Blarney Sisters Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2007
Gold,Coffee Bender,Surly Brewing Co.,Brooklyn Center,MN,Coffee Flavored Beer,2007
Silver,Java Porter,Blind Tiger Brewery & Restaurant,Topeka,KS,Coffee Flavored Beer,2007
Gold,Move Back,SandLot Brewery at Coors Field,Denver,CO,Dortmunder/European Style Export or German-Style Oktoberfest/Wiesen (Meadow),2007
Gold,Lil' Pip's Mild Ale,Hoppers Grill & Brewing Co.,Midvale,UT,English Style Dark Mild Ale or English-Style Brown Ale,2007
Silver,Nut Brown Ale,Blackstone Brewing Co.,Nashville,TN,English Style Dark Mild Ale or English-Style Brown Ale,2007
Bronze,1069 Brown Bear Brown,"Rock Bottom Brewery - Campbell, CA",Campbell,CA,English Style Dark Mild Ale or English-Style Brown Ale,2007
Bronze,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2007
Gold,"""312"" Urban Wheat Ale",Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2007
Silver,Sandbagger Gold,Montana Brewing Co.,Billings,MT,English-Style Summer Ale,2007
Bronze,Green Flash Extra Pale Ale,Green Flash Brewing Co.,Vista,CA,English-Style Summer Ale,2007
Bronze,Munich Dunkel,Redrock Brewing Co.,Salt Lake City,UT,European Style Dark/M=C3=BCnchner Dunkel,2007
Gold,Imperial Chocolate Pumpkin Porter,Midnight Sun Brewing Co.,Anchorage,AK,Experimental Beer (Lager or Ale),2007
Silver,Veritas 002,Port Brewing & The Lost Abbey,San Marcos,CA,Experimental Beer (Lager or Ale),2007
Bronze,Victor,Allagash Brewing Co.,Portland,ME,Experimental Beer (Lager or Ale),2007
Gold,The Wise ESB,Elysian Brewing Co.,Seattle,WA,Extra Special Bitter or Strong Bitter,2007
Silver,O'Brien's Harvest,Hale's Ales Brewery & Pub,Seattle,WA,Extra Special Bitter or Strong Bitter,2007
Bronze,Big Sea ESB,Free State Brewing Co.,Lawrence,KS,Extra Special Bitter or Strong Bitter,2007
Gold,Zonker Stout,Snake River Brewing Co.,Jackson,WY,Foreign (Export) Style Stout,2007
Silver,Custer's Last Stout,Montana Brewing Co.,Billings,MT,Foreign (Export) Style Stout,2007
Bronze,Russian Imperial Stout,Sacramento Brewing Co.,Sacramento,CA,Foreign (Export) Style Stout,2007
Silver,Liquid Sun 1087,Rock Bottom Brewery - Scottsdale,Scottsdale,AZ,French- and Belgian Style Saison,2007
Bronze,Southampton Saison,Southampton Publick House,Southampton,NY,French- and Belgian Style Saison,2007
Gold,Leinenkugel's Berry Weiss,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,Fruit Beer or Vegetable Beer,2007
Silver,The Great Pumpkin,Elysian Brewing Co.,Seattle,WA,Fruit Beer or Vegetable Beer,2007
Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer or Vegetable Beer,2007
Gold,Alt,Herkimer Pub and Brewery,Minneapolis,MN,German Style Brown Ale/D=C3=BCsseldorf Style Altbier,2007
Bronze,Gordon Biersch Alt,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,German Style Brown Ale/DC3=BCsseldorf Style Altbier,2007
Gold,Saint Arnold Fancy Lawnmower,Saint Arnold Brewing Co.,Houston,TX,German Style KC3=B6lsch/K==C3=B6ln Style K=C3=B6lsch,2007
Silver,Colorado KC3=B6lsch,Steamworks Brewing Co.,Durango/Bayfield,CO,German Style KC3=B6lsch/K=C3=B6ln Style K=C3=B6lsch=,2007
Bronze,Gordon Biersch SummerFest,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,German Style KC3=B6lsch/K=C3=B6ln Style K=C3=B6lsch,2007
Gold,Victory Festbier,Victory Brewing Co.,Downingtown,PA,German Style MC3=A4rzen,2007
Silver,Stewart's Oktoberfest,Stewart's Brewing Co.,Bear,DE,German Style MC3=A4rzen,2007
Gold,Gordon Biersch Schwarzbier,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,German Style Schwarzbier,2007
Silver,Redrock Black Bier,Redrock Brewing Co.,Salt Lake City,UT,German Style Schwarzbier,2007
Gold,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,German Style Strong Bock,2007
Bronze,Instigator,Sly Fox Brewing Co.,Royersford,PA,German Style Strong Bock,2007
Gold,Pikeland Pils,Sly Fox Brewing Co.,Royersford,PA,German-Style Pilsener,2007
Silver,Prima Pils,Victory Brewing Co.,Downingtown,PA,German-Style Pilsener,2007
Bronze,Kingfisher Premium Lager Beer,Olde Saratoga Brewing Co.,Saratoga Springs,NY,German-Style Pilsener,2007
Gold,Boscos Hefeweizen,Boscos Brewing Co.,Memphis,TN,German-Style Wheat Ale,2007
Silver,Dark 'n' Curvy,Piece Brewery,Chicago,IL,German-Style Wheat Ale,2007
Bronze,Gordon Biersch Hefeweizen,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,German-Style Wheat Ale,2007
Gold,RedBridge,"Anheuser-Busch, Inc",St. Louis,MO,Gluten Free Beer,2007
Silver,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Gluten Free Beer,2007
Bronze,Shakparo Ale,Sprecher Brewing Co.,Glendale,WI,Gluten Free Beer,2007
Silver,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Golden or Blonde Ale,2007
Bronze,Mississippi Blonde,Bent River Brewing Co.,Moline,IL,Golden or Blonde Ale,2007
Gold,Summertime 69,Gunnison Brewery,Gunnison,CO,Herb and Spice Beer,2007
Bronze,Frederick Miller Classic Chocolate Lager,Miller Brewing Co.,Milwaukee,WI,Herb and Spice Beer,2007
Gold,Hopsickle,Moylan's Brewing Co.,Novato,CA,Imperial or Double India Pale Ale,2007
Silver,Moylander,Moylan's Brewing Co.,Novato,CA,Imperial or Double India Pale Ale,2007
Bronze,Double Trouble Imperial IPA,21st Amendment Brewery,San Francisco,CA,Imperial or Double India Pale Ale,2007
Bronze,Extra Special Red,Odell Brewing Co.,Fort Collins,CO,Imperial or Double Red Ale,2007
Gold,Abyss,Deschutes Brewery,Bend,OR,Imperial Stout,2007
Silver,TAPS Imperial Stout,TAPS Fish House & Brewery,Brea,CA,Imperial Stout,2007
Bronze,Russian Imperial Stout,Rogue Ales,Newport,OR,Imperial Stout,2007
Gold,4K Pils,Deschutes Brewery,Bend,OR,International-Style Pilsener,2007
Silver,Southside Pils,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,International-Style Pilsener,2007
Bronze,Pig's Eye Pilsner Beer,Pig's Eye Brewing Co.,Woodbury,MN,International-Style Pilsener,2007
Gold,Red Rocks Red,Rock Bottom Brewery - Westminster,Westminster,CO,Irish-Style Red Ale,2007
Silver,Crimson Phog,23rd Street Brewery,Lawrence,KS,Irish-Style Red Ale,2007
Bronze,Enchanted Rock Red Ale,Fredericksburg Brewing Co.,Fredericksburg,TX,Irish-Style Red Ale,2007
Gold,El Amigo Light,Mission Brewery,San Diego,CA,M=C3=BCnchner (Munich) Style Helles,2007
Bronze,What in the Helles?,Steamworks Brewing Co.,Durango/Bayfield,CO,MC3=BCnchner (Munich) Style Hell=es,2007
Gold,Blue Corn Oatmeal Stout,New Mexico Brewers Guild,Santa Fe,NM,Oatmeal Stout,2007
Bronze,Alaskan Stout,Alaskan Brewing Co.,Juneau,AK,Oatmeal Stout,2007
Gold,Old Woody,Fish Brewing Co.,Olympia,WA,Old Ale or Strong Ale,2007
Silver,Firestone Extra Pale,Firestone Walker Brewing Co.,Paso Robles,CA,Other Low Strength Ale or Lager,2007
Bronze,Firestone Lager (Mini-Hell),Firestone Walker Brewing Co.,Paso Robles,CA,Other Low Strength Ale or Lager,2007
Gold,Derail Ale,Durango Brewing Co.,Durango,CO,Other Strong Ale or Lager,2007
Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2007
Bronze,Bottleworks VIII,Flyers Restaurant and Brewery,Oak Harbor,WA,Other Strong Ale or Lager,2007
Gold,English Style India Pale Ale,Allentown/Bethlehem Brew Works,Allentown,PA,Pro-Am Competition,2007
Silver,Kentucky Weissbier,Alltech's Lexington Brewing Co.,Lexington,KY,Pro-Am Competition,2007
Bronze,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,Pro-Am Competition,2007
Gold,English Style India Pale Ale,Allentown/Bethlehem Brew Works,Allentown,PA,Proam,2007
Silver,Kentucky Weissbier,Alltech's Lexington Brewing Co.,Lexington,KY,Proam,2007
Bronze,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,Proam,2007
Gold,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2007
Bronze,Planet Porter,Boulder Beer Co.,Boulder,CO,Robust Porter,2007
Gold,Crazy Jackass Ale,Great American Restaurants,Centreville,VA,Rye Beer,2007
Silver,Rockchuck Rye,Snake River Brewing of Lander,Lander,WY,Rye Beer,2007
Silver,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish Style Ale,2007
Gold,Smokey the Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Smoke-Flavored Beer,2007
Silver,Alaskan Smoked Porter 2006,Alaskan Brewing Co.,Juneau,AK,Smoke-Flavored Beer,2007
Bronze,Smokin Willie Porter,Moose's Tooth Brewing Co.,Anchorage,AK,Smoke-Flavored Beer,2007
Gold,Hefeweizen,Beaver Street Brewery & Whistle Stop CafC3=A9,Flagstaff,AZ,South German Style Hefeweizen/Hefeweissbier,2007
Silver,Stoudts Weizen,Stoudt's Brewing Co.,Adamstown,PA,South German Style Hefeweizen/Hefeweissbier,2007
Bronze,Top Heavy Hefeweizen,Piece Brewery,Chicago,IL,South German Style Hefeweizen/Hefeweissbier,2007
Gold,Judgment Day,Port Brewing & The Lost Abbey,San Marcos,CA,Specialty Beer,2007
Silver,Maui Gold Summer Ale,Maui Brewing Co.,Lahaina,HI,Specialty Beer,2007
Bronze,Doble Diablo,Thunder Canyon Brewery,Tucson,AZ,Specialty Beer,2007
Bronze,Hawaiian Honey,Chicago Brewing Co.,Las Vegas,NV,Specialty Honey Lager or Ale,2007
Gold,MacPelican's Wee Heavy Strong Scotch Ale,Pelican Pub & Brewery,Pacific City,OR,Strong Scotch Ale,2007
Silver,Double Cream Stout,"Bell's Brewery, Inc",Galesburg,MI,Sweet Stout,2007
Gold,Balto MC3=A4rzhon,Clipper City Brewing Co.,Baltimore,MD,Vienna Style Lager,2007
Silver,Kentucky Bourbon Barrel Ale,Alltech's Lexington Brewing Co.,Lexington,KY,Wood- and Barrel-Aged Beer,2007
Bronze,Buffalo Bock,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2007
Gold,Cuvee de Tomme,Port Brewing & The Lost Abbey,San Marcos,CA,Wood- and Barrel-Aged Sour Beer,2007
Bronze,Barrel-Aged Cherry,"BJ's Restaurant & Brewery - Reno, NV & Chandler, AZ",Huntington Beach,CA,Wood- and Barrel-Aged Sour Beer,2007
Silver,Bourbon Barrel Anniversary Ale,Olde Peninsula Brewpub & Restaurant,Kalamazoo,MI,Wood- and Barrel-Aged Strong Beer,2007
Gold,Triple Exultation - 2004,Eel River Brewing Co.,Fortuna,CA,Aged Beer (Ale or Lager),2006
Silver,Hibernation Ale 2005,Great Divide Brewing Co.,Denver,CO,Aged Beer (Ale or Lager),2006
Gold,Red Dog,Miller Brewing Co.,Milwaukee,WI,American Cream Ale or Lager,2006
Silver,Amber Waves Ale,Capitol City Brewing Co.,Arlington,VA,American-Style Amber / Red Ale,2006
Bronze,Sharkbite Red Ale,Port Brewing Co.,Carlsbad,CA,American-Style Amber / Red Ale,2006
Gold,Steam Engine Lager,Steamworks Brewing Co.,Durango,CO,American-Style Amber Lager,2006
Silver,Toasted Lager,Blue Point Brewing Co.,Patchogue,NY,American-Style Amber Lager,2006
Bronze,Oktoberfist,Bluegrass Brewing Co.,Louisville,KY,American-Style Amber Lager,2006
Gold,Doryman's Dark Ale,Pelican Pub & Brewery,Pacific City,OR,American-Style Brown Ale,2006
Silver,Great American Brown,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Brown Ale,2006
Bronze,Bear Tooth Ale,Moose's Tooth Brewing Co.,Anchorage,AK,American-Style Brown Ale,2006
Silver,Freidafest,Humperdinks Restaurant and Brewery,Dallas,TX,American-Style Dark Lager,2006
Bronze,Ziegenbock,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Dark Lager,2006
Gold,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Hefeweizen,2006
Bronze,Mueller Unfiltered Wheat,Springfield Brewing Co.,Springfield,MO,American-Style Hefeweizen,2006
Gold,HopHead Imperial IPA,Bend Brewing Co.,Bend,OR,American-Style India Pale Ale,2006
Silver,Apex Ale,Bear Republic Brewing Co.,Healdsburg,CA,American-Style India Pale Ale,2006
Bronze,Taildragger IPA,Ram Restaurant and Big Horn Brewery - Boise,Boise,ID,American-Style India Pale Ale,2006
Gold,Pabst Blue Ribbon,Pabst Brewing Co.,Woodbridge,IL,American-Style Lager,2006
Silver,Miller High Life,Miller Brewing Co.,Milwaukee,WI,American-Style Lager,2006
Gold,Old Milwaukee Light,Pabst Brewing Co.,Woodbridge,IL,American-Style Light Lager,2006
Silver,Milwaukee's Best Light,Miller Brewing Co.,Milwaukee,WI,American-Style Light Lager,2006
Gold,Tumble Off Pale Ale,Barley Brown's Brew Pub,Baker City,OR,American-Style Pale Ale,2006
Silver,Brewmasters' Pale,Widmer Brothers Brewing Co.,Portland,OR,American-Style Pale Ale,2006
Bronze,XP Pale Ale,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Pale Ale,2006
Gold,Mickey's Malt Liquor,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006
Silver,Icehouse,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006
Bronze,HG 800,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006
Gold,Sticky Stout,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Stout,2006
Silver,Oggis Black Majic Stout,Oggi's Pizza & Brewing Co.,San Clemente,CA,American-Style Stout,2006
Bronze,Terminal Oatmeal Stout,Rock Bottom Brewery - Chicago,Chicago,IL,American-Style Stout,2006
Silver,Racer's,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Strong Pale Ale,2006
Silver,William Jones Wheat Beer,El Toro Brewing Co.,Morgan Hill,CA,American-Style Wheat Beer,2006
Silver,Raven,McKenzie Brew House,Glen Mills,PA,Baltic-Style Porter,2006
Silver,Stormwatcher's Winterfest,Pelican Pub & Brewery,Pacific City,OR,Barley Wine-Style Ale,2006
Bronze,Arctic Devil Barley Wine,Midnight Sun Brewing Co.,Anchorage,AK,Barley Wine-Style Ale,2006
Gold,Le Fleur Misseur,New Belgium Brewing Co.,Fort Collins,CO,Belgian-and French-Style Ale,2006
Silver,Dim Wit,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Belgian-and French-Style Ale,2006
Bronze,Belgian Double White Ale,Southampton Publick House,Southampton,NY,Belgian-and French-Style Ale,2006
Gold,Tripel Ale,Allagash Brewing Co.,Portland,ME,Belgian-Style Abbey Ale,2006
Silver,Adirondack Abbey Ale,Great Adirondack Brewing Co.,Lake Placid,NY,Belgian-Style Abbey Ale,2006
Bronze,Bishop's Tipple Tripel,Main Street Brewery,Corona,CA,Belgian-Style Abbey Ale,2006
Gold,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Sour Ale,2006
Silver,Beatification,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Sour Ale,2006
Bronze,Festina Lente,Dogfish Head Craft Brewery,Milton,DE,Belgian-Style Sour Ale,2006
Gold,Golden Armor,CB & Potts Big Horn Brewery (Denver Tec),Englewood,CO,Belgian-Style Strong Specialty Ale,2006
Silver,Interlude,Allagash Brewing Co.,Portland,ME,Belgian-Style Strong Specialty Ale,2006
Bronze,Reve II,Redrock Brewing Co.,Salt Lake City,UT,Belgian-Style Strong Specialty Ale,2006
Silver,Wits End,Great American Restaurants,Centreville,VA,Belgian-Style White (or Wit) / Belgian-Style Wheat,2006
Bronze,35th Anniversary Ale,Bull and Bush Pub and Brewery,Denver,CO,Belgian-Style White (or Wit) / Belgian-Style Wheat,2006
Gold,Raccoon Red,Rock Bottom Brewery - Bethesda,Bethesda,MD,Bitter,2006
Silver,Alaskan Pale,Alaskan Brewing and Bottling Co.,Juneau,AK,Bitter,2006
Bronze,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,UT,Bitter,2006
Gold,Maibock,Blind Tiger Brewery Pub & Play,Topeka,KS,Bock,2006
Silver,TrC3=B6egenator D=ouble Bock,TrC3=B6egs Brewing Co.,Harrisburg,PA,Bock,2006
Gold,Schtolen Pils,Sandlot Brewery at Coors Field,Denver,CO,Bohemian Style Pilsener,2006
Silver,La Plata Pils,Carver Brewing Co.,Durango,CO,Bohemian Style Pilsener,2006
Bronze,Papa's Pilsner,75th Street Brewery Lawrence,Lawrence,KS,Bohemian Style Pilsener,2006
Gold,Molly Titanic,Rock Bottom Brewery - Denver,Denver,CO,Brown Porter,2006
Silver,St. Charles Porter,Blackstone Restaurant & Brewery,Nashville,TN,Brown Porter,2006
Bronze,Peter Brown Tribute Ale,Bear Republic Brewing Co.,Healdsburg,CA,Brown Porter,2006
Gold,Kellerbier,Herkimer Pub and Brewery,Minneapolis,MN,Cellar or Unfiltered Beer,2006
Silver,U.C.I.P.A.,Steelhead Brewery - Irvine,Irvine,CA,Cellar or Unfiltered Beer,2006
Bronze,Wild West Fest,Great American Restaurants,Centreville,VA,Cellar or Unfiltered Beer,2006
Silver,Mac's Ale,Pyramid Alehouse/Breweries Inc,Seattle,WA,Classic English Style Pale Ale,2006
Bronze,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Classic English Style Pale Ale,2006
Silver,Slapshot Stout,Ram Restaurant and Big Horn Brewery - Seattle,Seattle,WA,Classic Irish-Style Dry Stout,2006
Bronze,Irish Stout,Morgan Territory Brewing,Antioch,CA,Classic Irish-Style Dry Stout,2006
Silver,Black Magic Java Stout,Barley Island Brewing Co.,Noblesville,IN,Coffee Flavored Beer,2006
Bronze,Arctic Rhino Cofree Porter,Midnight Sun Brewing Co.,Anchorage,AK,Coffee Flavored Beer,2006
Gold,India Pale Ale,Carolina Brewery,Chapel Hill,NC,English-Style India Pale Ale,2006
Silver,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2006
Bronze,Triumph Bengal Gold I.P.A.,Triumph Brewing Co. of New Hope,New Hope,PA,English-Style India Pale Ale,2006
Gold,312 Urban Wheat Ale,Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2006
Silver,Sandbagger Gold,Montana Brewing Co.,Billings,MT,English-Style Summer Ale,2006
Bronze,True Blonde Ale,Ska Brewing Co.,Durango,CO,English-Style Summer Ale,2006
Silver,Storm King,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,European-Style Dark / Munchner Dunkel,2006
Bronze,Dunkel Rico,Stewart's Brewing Co.,Bear,DE,European-Style Dark / Munchner Dunkel,2006
Gold,Gold Mt. Pilsner,Silver City Brewing Co.,Silverdale,WA,European-Style Pilsener,2006
Silver,Schell Pilsner,August Schell Brewing Co.,New Ulm,MN,European-Style Pilsener,2006
Bronze,Widmer Export Lager,Widmer Brothers Brewing Co.,Portland,OR,European-Style Pilsener,2006
Gold,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Experimental Beer,2006
Silver,Angry Mike's Stoudt Creek,Flossmoor Station Brewing Co.,Floosmoor,IL,Experimental Beer,2006
Gold,Firestone Walker IPA,Firestone Walker Brewing Co.,Paso Robles,CA,Extra Special Bitter or Strong Bitter,2006
Silver,Autumn Ale,Short's Brewing Co.,Bellaire,MI,Extra Special Bitter or Strong Bitter,2006
Gold,Tsunami Stout,Pelican Pub & Brewery,Pacific City,OR,Foreign (Export)-Style Stout,2006
Gold,Organic Farmhouse Ale,Bison Brewing Co.,Berkeley,CA,French- Belgian-Style Saison,2006
Silver,Saison,Capitol City Brewing Co.,Arlington,VA,French- Belgian-Style Saison,2006
Bronze,Hennepin Farmhouse Saison,Brewery Ommegang,Cooperstown,NY,French- Belgian-Style Saison,2006
