name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Absinthe Drip Cocktail,Cocktail Classics,1 1/2 oz, Anis,1 oz, Sugar,,,,,,,,,"Pour Anis into special drip glass or old-fashioned cocktail glass. Place sugar cube over hole of drip spoon (or in silver tea strainer). Pack spoon or strainer with cracked ice, pour cold water to fill. When water has dripped through, drink is ready.",Old-Fashioned Glass,6 to 8 ounces
Ambrosia,Cocktail Classics,1 oz, Applejack,1 oz, Brandy,1 oz, Triple Sec,1 Juice of a Lemon,,, Chilled Champagne,,,Shake all ingredients except champagne. Pour contents into highball glass with cubed ice. Fill with chilled champagne.,Highball Glass,7 to 10 ounces
Rum Screwdriver,Rum - Daiquiris,1 1/2 oz, Light Rum,5 oz, Orange juice,,,,,,,,,Stir rum and orange juice in ice-filled highball glass.,Highball Glass,7 to 10 ounces
Rum Rickey,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,, Soda water, Lime wedge,,,,,,Pour rum and lime juice into ice-filled highball glass. Fill with soda water and stir. Add lime.,Highball Glass,7 to 10 ounces
Scotch Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Creme de Menthe (White),1 1/2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Rum Relaxer,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Pineapple Juice,1/2 oz, Grenadine, Lemon-lime soda,,," Orange wheel, maraschino cherry",,,Shake first three ingredients with ice and pour with ice into hurricane or parfait glass. Fill glass with lemon-lime soda. Garnish with orange and cherry.,Hurricane Glass,14 to 20 ounces
Rum Old-Fashioned,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, 151-Proof Rum,1 oz, Simple Syrup,1 oz, Angostura Bitters,, Lemon twist,,,Stir in ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Rum Martini,Rum - Daiquiris,2 oz, Light Rum,1 oz, Dry Vermouth,, Lemon twist,,,,,,,Stir rum and vermouth with ice in mixing glass. Strain into ice-filled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Rum Highball,Rum - Daiquiris,2 oz, Light or dark rum,, Ginger ale or soda water,, Lemon twist,,,,,,,Pour rum into highball glass over ice cubes. Fill with ginger ale or soda water and stir. Add lemon twist.,Highball Glass,7 to 10 ounces
Rum Fix,Rum - Daiquiris,2 1/2 oz, Light Rum,1 oz, Fresh lemon or lime juice,1/2 oz, Simple Syrup, Lemon wheel,,,,,,Pour ingredients into ice-filled highball glass and stir. Add lemon. Serve with a straw.,Highball Glass,7 to 10 ounces
Rum Daisy,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,1 oz, Grenadine,, Fresh seasonal fruit,,,Shake with ice and strain into chilled beer mug or metal cup. Add 1 large ice cube. Garnish with fruit.,Beer Mug,10 to 12 ounces
D'artagnan,Brandy,1 oz, Armagnac,1 oz, Grand Marnier,1 oz, Simple Syrup,1/2 oz, Orange juice,3 oz, Chilled Champagne,, orange zest ,Shake first four ingredients with ice and strain into champagne flute. Top with Champagne and insert orange zest strips to extend the length of the glass.,Champagne Flute,6 to 8 ounces
Rum Cooler,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Simple Syrup,2 oz, Soda water, Soda water or ginger ale,,, Orange and/or lemon zest,,,"Stir rum and syrup in Collins glass. Fill with ice, add soda water or ginger ale, and stir again. Insert citrus spiral(s) and dangle end(s) over glass rim.",Collins Glass,14 to 16 ounces
Rum Collins,Rum - Daiquiris,2 oz, Light Rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup, Soda water,,," Lemon wheel, maraschino cherry",,,"Shake rum, lime juice, and syrup with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Add lemon and cherry. Serve with a straw.",Collins Glass,14 to 16 ounces
Seaboabd,Cocktail Classics,1 oz, Old Mr. Boston Blended Whiskey,1 oz, Old Mr. Boston Dry Gin,1 oz, Lemon Juice,1 oz, Powdered Sugar,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.,Old-Fashioned Glass,6 to 8 ounces
Rum Cobbler,Rum - Daiquiris,2 oz, Light Rum,1/4 oz, Simple Syrup,, Soda water, Generous amount of fresh seasonal fruit,,,,,,"In red-wine glass, stir rum and syrup. Top with soda water. Garnish with fruit and serve with a straw.",Red-Wine Glass,12 to 24 ounces
Robson Cocktail,Rum - Daiquiris,1 1/2 oz, Jamaica Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh orange juice,1/4 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Rio Fix,Rum - Daiquiris,2 oz, Absinthe or pastis,1 1/2 oz, Cachaca,1/2 oz, Maraschino liqueur,3/4 oz, Fresh Lime Juice,1/2 oz, Pineapple Juice,,,Pour pastis into chilled champagne flute and swirl to coat inside. Shake remaining ingredients with ice and strain into glass.,Champagne Flute,6 to 8 ounces
Ringo Starr,Rum - Daiquiris,3 oz, Red grapes,1/2 oz, Lemon,6,Fresh mint leaves,1 oz, Sugar cube,2 oz, African rum,,,"Muddle grapes, lemon, mint, and sugar in shaker. Add rum and ice and shake briefly. Strain into chilled old-fashioned glass.",Old-Fashioned Glass,6 to 8 ounces
Restless Native,Rum - Daiquiris,2 oz, Coconut rum,3/4 oz, White creme de cacao,1 1/2 oz, Fresh Lime Juice, Lime zest spiral,,,,1 1/2 oz, Light Rum,Shake with ice and strain into chilled cocktail glass. Garnish with lime spiral.,Cocktail Glass,6 or more ounces
Quarter Deck Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Cream sherry,1/2 oz, Fresh Lime Juice,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Quaker's Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Brandy,1/2 oz, Fresh lemon juice,1/4 oz, Raspberry Syrup,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Puerto Rican Rum Daisy,Rum - Daiquiris,1 1/2 oz, Dark rum,1/4 oz, Orange curacao,3/4 oz, Fresh lemon juice,1/2 oz, each Orange juice and simple syrup,1 oz, Angostura Bitters,," Freshly grated nutmeg, orange wheel",Shake with ice and strain into chilled cocktail glass. Top with nutmeg and garnish with orange.,Cocktail Glass,6 or more ounces
Cuban Cocktail No. 2,Brandy,1 1/2 oz, Brandy,1/2 oz, Light Rum,1/2 oz, Apricot-Flavored Brandy,1/2 oz, Fresh Lime Juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Prohibition Punch,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Grand Marnier,1 oz, Passion Fruit Juice,1 oz, Cranberry Juice,1/4 oz, Fresh lemon juice,2 oz, Champagne,Shake first five ingredients with ice. Strain into ice-filled snifter. Top with Champagne.,Brandy Snifter,8 to 12 ounces
Prairie Oyster Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Worcestershire Sauce,1 oz, Tomato Catsup,1 oz, Vinegar,1 oz, Pepper,1 oz," Egg Yolk, 1 oz",Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add a dash of cayenne pepper.,Old-Fashioned Glass,6 to 8 ounces
Poker Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Sweet Vermouth,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Planter's Punch No. 2,Rum - Daiquiris,2 oz, Light Rum,2 oz, Orange juice,1 oz," each Fresh Lime Juice, jamaica rum, grenadine",1/2 oz, Pineapple Juice,1/4 oz," each Fresh lemon juice, triple sec",," Lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar","Stir first five ingredients in ice-filled Collins glass until glass is frosted. Add Jamaican rum, stir, and top with triple sec and grenadine. Garnish with fruit and mint. Serve with a straw.",Collins Glass,14 to 16 ounces
Planter's Punch No. 1,Rum - Daiquiris,2 1/2 oz, Light Rum,2 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,2 oz, Soda water,1 oz, Grenadine,," Lemon, orange, and pineapple slices; maraschino cherry","Stir rum, lime juice, syrup, and bitters in ice-filled Collins glass until glass is frosted. Fill with soda water and top with grenadine. Garnish with the fruit. Serve with a straw.",Collins Glass,14 to 16 ounces
Planter's Cocktail,Rum - Daiquiris,1 1/2 oz, Jamaica Rum,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Pink Paradise,Rum - Daiquiris,1 1/2 oz, Coconut-flavored rum,1 oz, Amaretto,3 oz, Cranberry Juice,1 1/2 oz, Pineapple Juice,," Pineapple wedge, maraschino cherry",,,Stir ingredients in ice-filled hurricane glass. Garnish with pineapple and cherry.,Hurricane Glass,14 to 20 ounces
Pink Creole,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,1/4 oz, half-and-half,, Rum-soaked black cherry,,,Shake with ice and strain into chilled cocktail glass. Add cherry.,Cocktail Glass,6 or more ounces
Pineapple Fizz,Rum - Daiquiris,2 oz, Light Rum,1 oz, Pineapple Juice,1 oz, Simple Syrup, Soda water,,,,,,"Shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes. Fill with soda water and stir.",Highball Glass,7 to 10 ounces
Pineapple Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Pineapple Juice,1/2 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Pearl Button,Rum - Daiquiris,2 oz, Cachaca (Brazilian rum),3/4 oz, Lillet Blanc,1/2 oz, Fresh Lime Juice, Lemon-lime soda,,," Pineapple wedge, maraschino cherry",,,Shake first three ingredients with ice and strain into ice-filled Collins glass. Top with soda. Garnish with pineapple and cherry.,Collins Glass,14 to 16 ounces
The Crux,Brandy,3/4 oz, Dubonnet,3/4 oz, Triple Sec,3/4 oz, Brandy,3/4 oz, Fresh lemon juice,, Orange twist,,,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Paris When It Sizzles,Rum - Daiquiris,3/4 oz, Elderflower liqueur,2 oz, Dark rum,1/2 oz, Fresh Lime Juice,1 oz, Angostura Bitters,, Lime wedge,,,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Palmetto Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Dry Vermouth,2 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Paddington,Rum - Daiquiris,1 oz, Absinthe,1 1/2 oz, Light Rum,1/2 oz, Lillet Blanc,1/2 oz, Fresh grapefruit juice,1/2 oz, Fresh lemon juice,1 oz," Orange marmalade, grapefruit twist","Pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess. Shake remaining ingredients with ice and strain into glass. Add grapefruit twist.",Cocktail Glass,6 or more ounces
The Old Cuban,Rum - Daiquiris,6 Fresh, mint leaves,1 oz, Simple Syrup,3/4 oz, Fresh Lime Juice,1 1/2 oz, Dark rum,2 oz, Angostura Bitters,2 oz," Champagne, chopped fresh mint","Muddle mint leaves, syrup, and lime juice in mixing glass. Add rum, bitters, and ice and shake well. Strain into chilled cocktail glass and top with Champagne. Garnish with chopped mint.",Cocktail Glass,6 or more ounces
"Oh, Gosh!",Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Triple Sec,1 oz, Fresh Lime Juice, Lemon twist,,,,,,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Night Cap,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Simple Syrup,, Warm milk, Freshly grated nutmeg,,,,,,"Pour rum and syrup in prewarmed Irish coffee glass, fill with warm milk, and stir. Top with nutmeg.",Irish Coffee Glass,8 to 9 ounces
New Orleans Buck,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Fresh orange juice,1/2 oz, Fresh lemon juice, Ginger ale,,,,,,Shake first three ingredients with ice and strain into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14 to 16 ounces
Nevada Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Grapefruit Juice,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Moonquake Shake,Rum - Daiquiris,1 1/2 oz, Dark rum,1 oz, Coffee-flavored brandy,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Monkey Wrench,Rum - Daiquiris,1 1/2 oz, Light Rum,, Grapefruit Juice,,,,,,,,,Pour rum into ice-filled Collins glass. Fill with grapefruit juice and stir.,Collins Glass,14 to 16 ounces
Creme De Cafe,Brandy,1 oz, Coffee-flavored brandy,1/2 oz, Light Rum,1/2 oz, Anisette,1 oz, half-and-half,,,,,Shake with ice and strain into chilled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Margarita,Cocktail Classics,1 1/2 oz, Blanco tequila,3/4 oz, Cointreau or triple sec,3/4 oz, Fresh Lime Juice," Lime wedge, coarse (kosher) salt",,,,,,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Mojito,Rum - Daiquiris,3 oz, Lime wedges,7, Fresh mint leaves,3/4 oz, Simple Syrup,2 oz, Light Rum,, Soda water,, Fresh mint sprig,"Muddle the limes, mint, and syrup in a Collins glass. Add the rum with ice and stir well. Top with soda water. Garnish with mint.",Collins Glass,14 to 16 ounces
Champagne Flamingo,Vodka,3/4 oz, Vodka,3/4 oz, Campari,5 oz, Chilled Champagne, Orange twist,,,,,,Shake vodka and Campari with ice. Strain into chilled champagne flute and top with Champagne. Add orange twist.,Champagne Flute,6 to 8 ounces
Thunder and Lightning Cocktail,Cocktail Classics,1 oz, Egg Yolk,1 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Five Star Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Casco Bay Lemonade,Vodka,1 1/2 oz, Citrus-flavored vodka,2 oz, Simple Syrup,2 oz, Fresh lemon juice,1 oz, Cranberry Juice,, Lemon-lime soda,, Lemon wheel,Shake first four ingredients with ice. Pour into ice-filled Collins glass. Fill glass with lemon-lime soda. Float lemon wheel on top.,Collins Glass,14 to 16 ounces
Caribbean Cruise,Vodka,1 oz, Vodka,1/4 oz, Light Rum,1/4 oz, Coconut-flavored rum,1 oz, Grenadine,4 oz, Pineapple Juice,," Pineapple wedge, maraschino cherry",Shake first four ingredients with ice and pour into ice-filled Collins glass. Fill with pineapple juice. Garnish with pineapple and cherry.,Collins Glass,14 to 16 ounces
Cappuccino Cocktail,Vodka,3/4 oz, Vodka,3/4 oz, Coffee-flavored brandy,3/4 oz, half-and-half,1 1/2 oz, Vodka,5 oz, Cranberry Juice,, Lime wedge,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Cape Codder,Tequila,1 1/2 oz, Vodka,5 oz, Cranberry Juice,, Lime wedge,1 oz, Old Mr. Boston Anisette ,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Egg White,Pour into ice-filled highball glass. Stir well. Garnish with lime.,Highball Glass,7 to 10 ounces
Baltimore Bracer Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Anisette ,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Egg White,,,,,,,Shake with ice and strain into cocktail glass. ,Cocktail Glass,6 or more ounces
Caesar,Vodka,For glass," Lemon wedge, celery salt",1 1/2 oz, Vodka,4 oz, Tomato-clam juice,1/2 oz, Prepared horseradish,1 oz," each Worcestershire Sauce, salt, ground black pepper",," Celery stalk, lemon wedge","Rim highball glass with lemon and celery salt, and then fill with ice. Shake ingredients with ice and strain into glass. Garnish with celery and lemon.",Highball Glass,7 to 10 ounces
Bull Shot,Vodka,1 1/2 oz, Vodka,3 oz, Cold beef bouillon,1 oz, Worcestershire Sauce,1 oz, Salt,1 oz, Freshly ground black pepper,,,Shake with ice and strain into chilled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Bullfrog,Vodka,1 1/2 oz, Vodka,5 oz, Lemonade,, Lime wheel,,,,,,,Pour into ice-filled Collins glass and stir. Garnish with lime.,Collins Glass,14 to 16 ounces
Boston Gold,Vodka,1 1/2 oz, Vodka,1/2 oz, Creme de banana,2 oz, Fresh orange juice,,,,,,,Shake with ice and strain into ice-filled highball glass.,Highball Glass,7 to 10 ounces
Corpse Reviver No. 1,Brandy,2 oz, Cognac,1 oz," Calvados, apple brandy, or applejack",1 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into a chilled cocktail glass.,Cocktail Glass,6 or more ounces
Thanksgiving Special Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Apricot Flavored Brandy,3/4 oz, Old Mr. Boston Dry Gin,3/4 oz, Dry Vermouth,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Tequini Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Tequila,1/2 oz, Dry Vermouth,1 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass. Serve with twist of lemon peel and an olive.,Cocktail Glass,6 or more ounces
Bordeaux Cocktail,Vodka,1 1/2 oz, Citrus-flavored vodka,1/2 oz, Lillet Blanc,, Lemon twist,,,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Bolshoi Punch,Vodka,1 oz, Vodka,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1/2 oz, Light Rum,1/2 oz, Creme de Cassis,,,Shake and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Blue Lagoon,Vodka,1 oz, Vodka,1 oz, Blue curacao,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Maraschino cherry,,,Shake with ice and strain into ice-filled highball glass. Garnish with cherry.,Highball Glass,7 to 10 ounces
Stinger Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston White Creme de Menthe,1 1/2 oz, Old Mr. Boston Five Star Brandy,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bloody Mary,Vodka,1 1/2 oz, Vodka,3 oz, Tomato Juice,1/4 oz, Fresh Lime Juice,4 oz, Worcestershire Sauce,2 -  3 drops ,hot red pepper sauce,," Freshly ground black pepper to taste, lime wedge, celery stalk",Roll with ice between both halves of Boston shaker. Strain into ice-filled old-fashioned glass. Garnish with lime and celery.,Old-Fashioned Glass,6 to 8 ounces
Spritzer Highball,Cocktail Classics,3 oz, chilled Rhine wine or Sauterne,,carbonated water,,,,,,,,,Pour into highball glass with ice cubes. Fill balance with carbonated water and stir gently.,Highball Glass,7 to 10 ounces
Bloody Bull,Vodka,1 oz, Vodka,2 oz, Tomato Juice,2 oz, Cold beef bouillon," Lemon wedge, lime wheel",,,,,,Pour into ice-filled highball glass. Stir. Squeeze and add lemon. Garnish with lime wheel.,Highball Glass,7 to 10 ounces
The Blood Orange,Vodka,2 oz, Orange-flavored vodka,1 oz, Campari,, Blood or navel orange half-wheel,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with orange.,Cocktail Glass,6 or more ounces
Black Russian,Vodka,1 1/2 oz, Vodka,3/4 oz, Coffee liqueur,,,,,,,,,Pour into ice-filled old-fashioned glass and stir.,Old-Fashioned Glass,6 to 8 ounces
Black Magic,Vodka,1 1/2 oz, Vodka,3/4 oz, Coffee liqueur,1/4 oz, Fresh lemon juice, Lemon twist,,,,,,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces
Black Cherry Chocolate,Vodka,1 1/4 oz, Black cherry-flavored vodka,3/4 oz, White chocolate liqueur,3/4 oz, Black cherry juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Victor Collins,Cocktail Classics,1 1/2 oz, Old Mr. Boston Vodka,3 oz, Unsweetened Grape Juice,3 oz, Lemon Juice,1 oz, Powdered Sugar,,,,,Shake with ice and strain into collins glass with ice cubes. Add slice of orange.,Collins Glass,14 to 16 ounces
Snowball Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Old Mr. Boston Anisette ,1 oz, Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Violet Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Creme Yvette,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces
Bikini,Vodka,1 oz, Vodka,1/2 oz, Light Rum,1/2 oz, Fresh lemon juice,1/2 oz, Milk,1/2 oz, Simple Syrup,, Lemon twist,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
